date,store_nbr,family,sales,onpromotion
2013-01-01,1,DAIRY,0.0,0
2013-01-02,1,DAIRY,579.0,0
2013-01-03,1,DAIRY,453.0,0
2013-01-04,1,DAIRY,460.0,0
2013-01-05,1,DAIRY,464.0,0
2013-01-06,1,DAIRY,212.0,0
2013-01-07,1,DAIRY,400.0,0
2013-01-08,1,DAIRY,384.0,0
2013-01-09,1,DAIRY,530.0,0
2013-01-10,1,DAIRY,345.0,0
2013-01-11,1,DAIRY,401.0,0
2013-01-12,1,DAIRY,404.0,0
2013-01-13,1,DAIRY,194.0,0
2013-01-14,1,DAIRY,411.0,0
2013-01-15,1,DAIRY,357.0,0
2013-01-16,1,DAIRY,519.0,0
2013-01-17,1,DAIRY,373.0,0
2013-01-18,1,DAIRY,464.0,0
2013-01-19,1,DAIRY,447.0,0
2013-01-20,1,DAIRY,177.0,0
2013-01-21,1,DAIRY,399.0,0
2013-01-22,1,DAIRY,347.0,0
2013-01-23,1,DAIRY,496.0,0
2013-01-24,1,DAIRY,359.0,0
2013-01-25,1,DAIRY,399.0,0
2013-01-26,1,DAIRY,440.0,0
2013-01-27,1,DAIRY,192.0,0
2013-01-28,1,DAIRY,405.0,0
2013-01-29,1,DAIRY,327.0,0
2013-01-30,1,DAIRY,486.0,0
2013-01-31,1,DAIRY,365.0,0
2013-02-01,1,DAIRY,430.0,0
2013-02-02,1,DAIRY,427.0,0
2013-02-03,1,DAIRY,192.0,0
2013-02-04,1,DAIRY,444.0,0
2013-02-05,1,DAIRY,424.0,0
2013-02-06,1,DAIRY,503.0,0
2013-02-07,1,DAIRY,342.0,0
2013-02-08,1,DAIRY,426.0,0
2013-02-09,1,DAIRY,377.0,0
2013-02-10,1,DAIRY,110.0,0
2013-02-11,1,DAIRY,151.0,0
2013-02-12,1,DAIRY,139.0,0
2013-02-13,1,DAIRY,508.0,0
2013-02-14,1,DAIRY,457.0,0
2013-02-15,1,DAIRY,459.0,0
2013-02-16,1,DAIRY,521.0,0
2013-02-17,1,DAIRY,150.0,0
2013-02-18,1,DAIRY,405.0,0
2013-02-19,1,DAIRY,368.0,0
2013-02-20,1,DAIRY,514.0,0
2013-02-21,1,DAIRY,353.0,0
2013-02-22,1,DAIRY,424.0,0
2013-02-23,1,DAIRY,451.0,0
2013-02-24,1,DAIRY,194.0,0
2013-02-25,1,DAIRY,507.0,0
2013-02-26,1,DAIRY,426.0,0
2013-02-27,1,DAIRY,469.0,0
2013-02-28,1,DAIRY,401.0,0
2013-03-01,1,DAIRY,515.0,0
2013-03-02,1,DAIRY,487.0,0
2013-03-03,1,DAIRY,216.0,0
2013-03-04,1,DAIRY,430.0,0
2013-03-05,1,DAIRY,381.0,0
2013-03-06,1,DAIRY,515.0,0
2013-03-07,1,DAIRY,409.0,0
2013-03-08,1,DAIRY,467.0,0
2013-03-09,1,DAIRY,457.0,0
2013-03-10,1,DAIRY,227.0,0
2013-03-11,1,DAIRY,394.0,0
2013-03-12,1,DAIRY,427.0,0
2013-03-13,1,DAIRY,492.0,0
2013-03-14,1,DAIRY,375.0,0
2013-03-15,1,DAIRY,418.0,0
2013-03-16,1,DAIRY,458.0,0
2013-03-17,1,DAIRY,205.0,0
2013-03-18,1,DAIRY,422.0,0
