date,store_nbr,family,sales,onpromotion
2013-01-01,1,DELI,0.0,0
2013-01-02,1,DELI,164.0,0
2013-01-03,1,DELI,152.0,0
2013-01-04,1,DELI,131.0,0
2013-01-05,1,DELI,119.0,0
2013-01-06,1,DELI,60.0,0
2013-01-07,1,DELI,113.0,0
2013-01-08,1,DELI,130.0,0
2013-01-09,1,DELI,147.0,0
2013-01-10,1,DELI,124.0,0
2013-01-11,1,DELI,132.0,0
2013-01-12,1,DELI,107.0,0
2013-01-13,1,DELI,41.0,0
2013-01-14,1,DELI,144.0,0
2013-01-15,1,DELI,101.0,0
2013-01-16,1,DELI,116.0,0
2013-01-17,1,DELI,118.0,0
2013-01-18,1,DELI,141.0,0
2013-01-19,1,DELI,134.0,0
2013-01-20,1,DELI,53.0,0
2013-01-21,1,DELI,110.0,0
2013-01-22,1,DELI,99.0,0
2013-01-23,1,DELI,140.0,0
2013-01-24,1,DELI,111.0,0
2013-01-25,1,DELI,114.0,0
2013-01-26,1,DELI,129.0,0
2013-01-27,1,DELI,36.0,0
2013-01-28,1,DELI,123.0,0
2013-01-29,1,DELI,111.0,0
2013-01-30,1,DELI,112.0,0
2013-01-31,1,DELI,112.0,0
2013-02-01,1,DELI,122.0,0
2013-02-02,1,DELI,129.0,0
2013-02-03,1,DELI,45.0,0
2013-02-04,1,DELI,94.0,0
2013-02-05,1,DELI,99.0,0
2013-02-06,1,DELI,125.0,0
2013-02-07,1,DELI,88.0,0
2013-02-08,1,DELI,144.0,0
2013-02-09,1,DELI,109.0,0
2013-02-10,1,DELI,23.0,0
2013-02-11,1,DELI,26.0,0
2013-02-12,1,DELI,25.0,0
2013-02-13,1,DELI,128.0,0
2013-02-14,1,DELI,109.0,0
2013-02-15,1,DELI,125.0,0
2013-02-16,1,DELI,133.0,0
2013-02-17,1,DELI,32.0,0
2013-02-18,1,DELI,96.0,0
2013-02-19,1,DELI,117.0,0
2013-02-20,1,DELI,124.0,0
2013-02-21,1,DELI,135.0,0
2013-02-22,1,DELI,134.0,0
2013-02-23,1,DELI,128.0,0
2013-02-24,1,DELI,48.0,0
2013-02-25,1,DELI,120.0,0
2013-02-26,1,DELI,124.0,0
2013-02-27,1,DELI,136.0,0
2013-02-28,1,DELI,101.0,0
2013-03-01,1,DELI,135.0,0
2013-03-02,1,DELI,135.0,0
2013-03-03,1,DELI,67.0,0
2013-03-04,1,DELI,125.0,0
2013-03-05,1,DELI,109.0,0
2013-03-06,1,DELI,118.0,0
2013-03-07,1,DELI,113.0,0
2013-03-08,1,DELI,126.0,0
2013-03-09,1,DELI,166.0,0
2013-03-10,1,DELI,58.0,0
2013-03-11,1,DELI,127.0,0
2013-03-12,1,DELI,127.0,0
2013-03-13,1,DELI,144.0,0
2013-03-14,1,DELI,104.0,0
2013-03-15,1,DELI,113.0,0
2013-03-16,1,DELI,98.0,0
2013-03-17,1,DELI,60.0,0
2013-03-18,1,DELI,159.0,0
2013-03-19,1,DELI,92.0,0
2013-03-20,1,DELI,151.0,0
2013-03-21,1,DELI,122.0,0
2013-03-22,1,DELI,104.0,0
2013-03-23,1,DELI,132.0,0
2013-03-24,1,DELI,52.0,0
2013-03-25,1,DELI,93.0,0
2013-03-26,1,DELI,87.0,0
2013-03-27,1,DELI,136.0,0
2013-03-28,1,DELI,109.0,0
2013-03-29,1,DELI,49.0,0
2013-03-30,1,DELI,99.0,0
2013-03-31,1,DELI,53.0,0
2013-04-01,1,DELI,140.0,0
2013-04-02,1,DELI,164.0,0
2013-04-03,1,DELI,183.0,0
2013-04-04,1,DELI,103.0,0
2013-04-05,1,DELI,144.0,0
2013-04-06,1,DELI,148.0,0
2013-04-07,1,DELI,63.0,0
2013-04-08,1,DELI,129.0,0
2013-04-09,1,DELI,98.0,0
2013-04-10,1,DELI,159.0,0
2013-04-11,1,DELI,110.0,0
2013-04-12,1,DELI,129.0,0
2013-04-13,1,DELI,114.0,0
2013-04-14,1,DELI,47.0,0
2013-04-15,1,DELI,158.0,0
2013-04-16,1,DELI,146.0,0
2013-04-17,1,DELI,145.0,0
2013-04-18,1,DELI,100.0,0
2013-04-19,1,DELI,99.0,0
2013-04-20,1,DELI,125.0,0
2013-04-21,1,DELI,60.0,0
2013-04-22,1,DELI,140.0,0
2013-04-23,1,DELI,158.0,0
2013-04-24,1,DELI,119.0,0
2013-04-25,1,DELI,93.0,0
2013-04-26,1,DELI,146.0,0
2013-04-27,1,DELI,111.0,0
2013-04-28,1,DELI,56.0,0
2013-04-29,1,DELI,93.0,0
2013-04-30,1,DELI,157.0,0
2013-05-01,1,DELI,43.0,0
2013-05-02,1,DELI,106.0,0
2013-05-03,1,DELI,174.0,0
2013-05-04,1,DELI,170.0,0
2013-05-05,1,DELI,60.0,0
2013-05-06,1,DELI,133.0,0
2013-05-07,1,DELI,125.0,0
2013-05-08,1,DELI,107.0,0
2013-05-09,1,DELI,119.0,0
2013-05-10,1,DELI,143.0,0
2013-05-11,1,DELI,156.0,0
2013-05-12,1,DELI,32.0,0
2013-05-13,1,DELI,129.0,0
2013-05-14,1,DELI,134.0,0
2013-05-15,1,DELI,138.0,0
2013-05-16,1,DELI,133.0,0
2013-05-17,1,DELI,158.0,0
2013-05-18,1,DELI,148.0,0
2013-05-19,1,DELI,48.0,0
2013-05-20,1,DELI,114.0,0
2013-05-21,1,DELI,103.0,0
2013-05-22,1,DELI,130.0,0
2013-05-23,1,DELI,120.0,0
2013-05-24,1,DELI,53.0,0
2013-05-25,1,DELI,118.0,0
2013-05-26,1,DELI,43.0,0
2013-05-27,1,DELI,133.0,0
2013-05-28,1,DELI,117.0,0
2013-05-29,1,DELI,124.0,0
2013-05-30,1,DELI,115.0,0
2013-05-31,1,DELI,146.0,0
2013-06-01,1,DELI,119.0,0
2013-06-02,1,DELI,31.0,0
2013-06-03,1,DELI,152.0,0
2013-06-04,1,DELI,105.0,0
2013-06-05,1,DELI,145.0,0
2013-06-06,1,DELI,102.0,0
2013-06-07,1,DELI,173.0,0
2013-06-08,1,DELI,81.0,0
2013-06-09,1,DELI,55.0,0
2013-06-10,1,DELI,139.0,0
2013-06-11,1,DELI,119.0,0
2013-06-12,1,DELI,110.0,0
2013-06-13,1,DELI,71.0,0
2013-06-14,1,DELI,149.0,0
2013-06-15,1,DELI,107.0,0
2013-06-16,1,DELI,50.0,0
2013-06-17,1,DELI,152.0,0
2013-06-18,1,DELI,113.0,0
2013-06-19,1,DELI,117.0,0
2013-06-20,1,DELI,83.0,0
2013-06-21,1,DELI,121.0,0
2013-06-22,1,DELI,93.0,0
