date,store_nbr,family,sales,onpromotion
2013-01-01,25,HOME CARE,0.0,0
2013-01-02,25,HOME CARE,0.0,0
2013-01-03,25,HOME CARE,0.0,0
2013-01-04,25,HOME CARE,0.0,0
2013-01-05,25,HOME CARE,0.0,0
2013-01-06,25,HOME CARE,0.0,0
2013-01-07,25,HOME CARE,0.0,0
2013-01-08,25,HOME CARE,0.0,0
2013-01-09,25,HOME CARE,0.0,0
2013-01-10,25,HOME CARE,0.0,0
2013-01-11,25,HOME CARE,0.0,0
2013-01-12,25,HOME CARE,0.0,0
2013-01-13,25,HOME CARE,0.0,0
2013-01-14,25,HOME CARE,0.0,0
2013-01-15,25,HOME CARE,0.0,0
2013-01-16,25,HOME CARE,0.0,0
2013-01-17,25,HOME CARE,0.0,0
2013-01-18,25,HOME CARE,0.0,0
2013-01-19,25,HOME CARE,0.0,0
2013-01-20,25,HOME CARE,0.0,0
2013-01-21,25,HOME CARE,0.0,0
2013-01-22,25,HOME CARE,0.0,0
2013-01-23,25,HOME CARE,0.0,0
2013-01-24,25,HOME CARE,0.0,0
2013-01-25,25,HOME CARE,0.0,0
2013-01-26,25,HOME CARE,0.0,0
2013-01-27,25,HOME CARE,0.0,0
2013-01-28,25,HOME CARE,0.0,0
2013-01-29,25,HOME CARE,0.0,0
2013-01-30,25,HOME CARE,0.0,0
2013-01-31,25,HOME CARE,0.0,0
2013-02-01,25,HOME CARE,0.0,0
2013-02-02,25,HOME CARE,0.0,0
2013-02-03,25,HOME CARE,0.0,0
2013-02-04,25,HOME CARE,0.0,0
2013-02-05,25,HOME CARE,0.0,0
2013-02-06,25,HOME CARE,0.0,0
2013-02-07,25,HOME CARE,0.0,0
2013-02-08,25,HOME CARE,0.0,0
2013-02-09,25,HOME CARE,0.0,0
2013-02-10,25,HOME CARE,0.0,0
2013-02-11,25,HOME CARE,0.0,0
2013-02-12,25,HOME CARE,0.0,0
2013-02-13,25,HOME CARE,0.0,0
2013-02-14,25,HOME CARE,0.0,0
2013-02-15,25,HOME CARE,0.0,0
2013-02-16,25,HOME CARE,0.0,0
2013-02-17,25,HOME CARE,0.0,0
2013-02-18,25,HOME CARE,0.0,0
2013-02-19,25,HOME CARE,0.0,0
2013-02-20,25,HOME CARE,0.0,0
2013-02-21,25,HOME CARE,0.0,0
2013-02-22,25,HOME CARE,0.0,0
2013-02-23,25,HOME CARE,0.0,0
2013-02-24,25,HOME CARE,0.0,0
