date,store_nbr,family,sales,onpromotion
2013-01-01,25,LAWN AND GARDEN,2.0,0
2013-01-02,25,LAWN AND GARDEN,14.0,0
2013-01-03,25,LAWN AND GARDEN,5.0,0
2013-01-04,25,LAWN AND GARDEN,5.0,0
2013-01-05,25,LAWN AND GARDEN,18.0,0
2013-01-06,25,LAWN AND GARDEN,4.0,0
2013-01-07,25,LAWN AND GARDEN,2.0,0
2013-01-08,25,LAWN AND GARDEN,2.0,0
2013-01-09,25,LAWN AND GARDEN,8.0,0
2013-01-10,25,LAWN AND GARDEN,10.0,0
2013-01-11,25,LAWN AND GARDEN,6.0,0
2013-01-12,25,LAWN AND GARDEN,8.0,0
2013-01-13,25,LAWN AND GARDEN,3.0,0
2013-01-14,25,LAWN AND GARDEN,0.0,0
2013-01-15,25,LAWN AND GARDEN,5.0,0
2013-01-16,25,LAWN AND GARDEN,5.0,0
2013-01-17,25,LAWN AND GARDEN,7.0,0
2013-01-18,25,LAWN AND GARDEN,3.0,0
2013-01-19,25,LAWN AND GARDEN,6.0,0
2013-01-20,25,LAWN AND GARDEN,2.0,0
2013-01-21,25,LAWN AND GARDEN,1.0,0
2013-01-22,25,LAWN AND GARDEN,5.0,0
2013-01-23,25,LAWN AND GARDEN,8.0,0
2013-01-24,25,LAWN AND GARDEN,5.0,0
2013-01-25,25,LAWN AND GARDEN,2.0,0
2013-01-26,25,LAWN AND GARDEN,8.0,0
2013-01-27,25,LAWN AND GARDEN,0.0,0
2013-01-28,25,LAWN AND GARDEN,0.0,0
2013-01-29,25,LAWN AND GARDEN,1.0,0
2013-01-30,25,LAWN AND GARDEN,0.0,0
2013-01-31,25,LAWN AND GARDEN,1.0,0
2013-02-01,25,LAWN AND GARDEN,5.0,0
2013-02-02,25,LAWN AND GARDEN,11.0,0
2013-02-03,25,LAWN AND GARDEN,2.0,0
2013-02-04,25,LAWN AND GARDEN,6.0,0
2013-02-05,25,LAWN AND GARDEN,2.0,0
2013-02-06,25,LAWN AND GARDEN,8.0,0
2013-02-07,25,LAWN AND GARDEN,3.0,0
2013-02-08,25,LAWN AND GARDEN,10.0,0
2013-02-09,25,LAWN AND GARDEN,2.0,0
2013-02-10,25,LAWN AND GARDEN,2.0,0
2013-02-11,25,LAWN AND GARDEN,2.0,0
2013-02-12,25,LAWN AND GARDEN,1.0,0
2013-02-13,25,LAWN AND GARDEN,0.0,0
2013-02-14,25,LAWN AND GARDEN,1.0,0
2013-02-15,25,LAWN AND GARDEN,0.0,0
2013-02-16,25,LAWN AND GARDEN,0.0,0
2013-02-17,25,LAWN AND GARDEN,1.0,0
2013-02-18,25,LAWN AND GARDEN,0.0,0
2013-02-19,25,LAWN AND GARDEN,1.0,0
2013-02-20,25,LAWN AND GARDEN,0.0,0
2013-02-21,25,LAWN AND GARDEN,0.0,0
2013-02-22,25,LAWN AND GARDEN,11.0,0
2013-02-23,25,LAWN AND GARDEN,1.0,0
2013-02-24,25,LAWN AND GARDEN,0.0,0
2013-02-25,25,LAWN AND GARDEN,0.0,0
2013-02-26,25,LAWN AND GARDEN,0.0,0
2013-02-27,25,LAWN AND GARDEN,16.0,0
2013-02-28,25,LAWN AND GARDEN,13.0,0
2013-03-01,25,LAWN AND GARDEN,1.0,0
2013-03-02,25,LAWN AND GARDEN,19.0,0
2013-03-03,25,LAWN AND GARDEN,2.0,0
2013-03-04,25,LAWN AND GARDEN,2.0,0
2013-03-05,25,LAWN AND GARDEN,6.0,0
2013-03-06,25,LAWN AND GARDEN,4.0,0
2013-03-07,25,LAWN AND GARDEN,1.0,0
2013-03-08,25,LAWN AND GARDEN,11.0,0
2013-03-09,25,LAWN AND GARDEN,10.0,0
2013-03-10,25,LAWN AND GARDEN,2.0,0
2013-03-11,25,LAWN AND GARDEN,0.0,0
2013-03-12,25,LAWN AND GARDEN,6.0,0
2013-03-13,25,LAWN AND GARDEN,11.0,0
2013-03-14,25,LAWN AND GARDEN,0.0,0
2013-03-15,25,LAWN AND GARDEN,13.0,0
2013-03-16,25,LAWN AND GARDEN,2.0,0
2013-03-17,25,LAWN AND GARDEN,3.0,0
2013-03-18,25,LAWN AND GARDEN,12.0,0
2013-03-19,25,LAWN AND GARDEN,4.0,0
2013-03-20,25,LAWN AND GARDEN,2.0,0
2013-03-21,25,LAWN AND GARDEN,1.0,0
2013-03-22,25,LAWN AND GARDEN,7.0,0
2013-03-23,25,LAWN AND GARDEN,3.0,0
2013-03-24,25,LAWN AND GARDEN,8.0,0
2013-03-25,25,LAWN AND GARDEN,1.0,0
2013-03-26,25,LAWN AND GARDEN,9.0,0
2013-03-27,25,LAWN AND GARDEN,11.0,0
2013-03-28,25,LAWN AND GARDEN,2.0,0
2013-03-29,25,LAWN AND GARDEN,5.0,0
2013-03-30,25,LAWN AND GARDEN,10.0,0
