date,store_nbr,family,sales,onpromotion
2013-01-01,25,"LIQUOR,WINE,BEER",105.0,0
2013-01-02,25,"LIQUOR,WINE,BEER",113.0,0
2013-01-03,25,"LIQUOR,WINE,BEER",73.0,0
2013-01-04,25,"LIQUOR,WINE,BEER",136.0,0
2013-01-05,25,"LIQUOR,WINE,BEER",261.0,0
2013-01-06,25,"LIQUOR,WINE,BEER",0.0,0
2013-01-07,25,"LIQUOR,WINE,BEER",38.0,0
2013-01-08,25,"LIQUOR,WINE,BEER",36.0,0
2013-01-09,25,"LIQUOR,WINE,BEER",94.0,0
2013-01-10,25,"LIQUOR,WINE,BEER",85.0,0
2013-01-11,25,"LIQUOR,WINE,BEER",154.0,0
2013-01-12,25,"LIQUOR,WINE,BEER",355.0,0
2013-01-13,25,"LIQUOR,WINE,BEER",0.0,0
2013-01-14,25,"LIQUOR,WINE,BEER",49.0,0
2013-01-15,25,"LIQUOR,WINE,BEER",47.0,0
2013-01-16,25,"LIQUOR,WINE,BEER",59.0,0
2013-01-17,25,"LIQUOR,WINE,BEER",42.0,0
2013-01-18,25,"LIQUOR,WINE,BEER",167.0,0
2013-01-19,25,"LIQUOR,WINE,BEER",405.0,0
2013-01-20,25,"LIQUOR,WINE,BEER",0.0,0
2013-01-21,25,"LIQUOR,WINE,BEER",46.0,0
2013-01-22,25,"LIQUOR,WINE,BEER",37.0,0
2013-01-23,25,"LIQUOR,WINE,BEER",52.0,0
2013-01-24,25,"LIQUOR,WINE,BEER",58.0,0
2013-01-25,25,"LIQUOR,WINE,BEER",161.0,0
2013-01-26,25,"LIQUOR,WINE,BEER",419.0,0
2013-01-27,25,"LIQUOR,WINE,BEER",0.0,0
2013-01-28,25,"LIQUOR,WINE,BEER",41.0,0
2013-01-29,25,"LIQUOR,WINE,BEER",68.0,0
2013-01-30,25,"LIQUOR,WINE,BEER",57.0,0
2013-01-31,25,"LIQUOR,WINE,BEER",62.0,0
2013-02-01,25,"LIQUOR,WINE,BEER",201.0,0
2013-02-02,25,"LIQUOR,WINE,BEER",514.0,0
2013-02-03,25,"LIQUOR,WINE,BEER",0.0,0
2013-02-04,25,"LIQUOR,WINE,BEER",139.0,0
2013-02-05,25,"LIQUOR,WINE,BEER",117.0,0
2013-02-06,25,"LIQUOR,WINE,BEER",166.0,0
