date,store_nbr,family,sales,onpromotion
2013-01-01,26,FROZEN FOODS,0.0,0
2013-01-02,26,FROZEN FOODS,52.0,0
2013-01-03,26,FROZEN FOODS,33.0,0
2013-01-04,26,FROZEN FOODS,34.0,0
2013-01-05,26,FROZEN FOODS,17.0,0
2013-01-06,26,FROZEN FOODS,34.0,0
2013-01-07,26,FROZEN FOODS,26.0,0
2013-01-08,26,FROZEN FOODS,17.0,0
2013-01-09,26,FROZEN FOODS,16.0,0
2013-01-10,26,FROZEN FOODS,54.0,0
2013-01-11,26,FROZEN FOODS,42.0,0
2013-01-12,26,FROZEN FOODS,34.0,0
2013-01-13,26,FROZEN FOODS,29.0,0
2013-01-14,26,FROZEN FOODS,28.0,0
2013-01-15,26,FROZEN FOODS,12.0,0
2013-01-16,26,FROZEN FOODS,21.0,0
2013-01-17,26,FROZEN FOODS,43.0,0
2013-01-18,26,FROZEN FOODS,36.0,0
2013-01-19,26,FROZEN FOODS,12.0,0
2013-01-20,26,FROZEN FOODS,42.0,0
2013-01-21,26,FROZEN FOODS,25.0,0
2013-01-22,26,FROZEN FOODS,21.0,0
2013-01-23,26,FROZEN FOODS,17.0,0
2013-01-24,26,FROZEN FOODS,12.0,0
2013-01-25,26,FROZEN FOODS,4.0,0
2013-01-26,26,FROZEN FOODS,31.0,0
2013-01-27,26,FROZEN FOODS,15.0,0
2013-01-28,26,FROZEN FOODS,6.0,0
2013-01-29,26,FROZEN FOODS,21.0,0
2013-01-30,26,FROZEN FOODS,12.0,0
2013-01-31,26,FROZEN FOODS,38.0,0
2013-02-01,26,FROZEN FOODS,39.0,0
2013-02-02,26,FROZEN FOODS,33.0,0
2013-02-03,26,FROZEN FOODS,36.0,0
2013-02-04,26,FROZEN FOODS,24.0,0
2013-02-05,26,FROZEN FOODS,31.0,0
2013-02-06,26,FROZEN FOODS,19.0,0
2013-02-07,26,FROZEN FOODS,31.0,0
2013-02-08,26,FROZEN FOODS,21.0,0
2013-02-09,26,FROZEN FOODS,31.0,0
2013-02-10,26,FROZEN FOODS,23.0,0
2013-02-11,26,FROZEN FOODS,29.0,0
2013-02-12,26,FROZEN FOODS,14.0,0
2013-02-13,26,FROZEN FOODS,43.0,0
2013-02-14,26,FROZEN FOODS,17.0,0
