date,store_nbr,family,sales,onpromotion
2013-01-01,2,BEAUTY,0.0,0
2013-01-02,2,BEAUTY,3.0,0
2013-01-03,2,BEAUTY,2.0,0
2013-01-04,2,BEAUTY,3.0,0
2013-01-05,2,BEAUTY,9.0,0
2013-01-06,2,BEAUTY,6.0,0
2013-01-07,2,BEAUTY,4.0,0
2013-01-08,2,BEAUTY,4.0,0
2013-01-09,2,BEAUTY,6.0,0
2013-01-10,2,BEAUTY,4.0,0
2013-01-11,2,BEAUTY,2.0,0
2013-01-12,2,BEAUTY,4.0,0
2013-01-13,2,BEAUTY,2.0,0
2013-01-14,2,BEAUTY,3.0,0
2013-01-15,2,BEAUTY,4.0,0
2013-01-16,2,BEAUTY,5.0,0
2013-01-17,2,BEAUTY,2.0,0
2013-01-18,2,BEAUTY,3.0,0
2013-01-19,2,BEAUTY,6.0,0
2013-01-20,2,BEAUTY,10.0,0
2013-01-21,2,BEAUTY,4.0,0
2013-01-22,2,BEAUTY,3.0,0
2013-01-23,2,BEAUTY,1.0,0
2013-01-24,2,BEAUTY,1.0,0
2013-01-25,2,BEAUTY,2.0,0
2013-01-26,2,BEAUTY,2.0,0
2013-01-27,2,BEAUTY,6.0,0
2013-01-28,2,BEAUTY,3.0,0
2013-01-29,2,BEAUTY,3.0,0
2013-01-30,2,BEAUTY,8.0,0
2013-01-31,2,BEAUTY,4.0,0
2013-02-01,2,BEAUTY,2.0,0
2013-02-02,2,BEAUTY,5.0,0
2013-02-03,2,BEAUTY,16.0,0
2013-02-04,2,BEAUTY,6.0,0
2013-02-05,2,BEAUTY,5.0,0
2013-02-06,2,BEAUTY,3.0,0
2013-02-07,2,BEAUTY,5.0,0
2013-02-08,2,BEAUTY,8.0,0
2013-02-09,2,BEAUTY,4.0,0
2013-02-10,2,BEAUTY,5.0,0
2013-02-11,2,BEAUTY,4.0,0
2013-02-12,2,BEAUTY,1.0,0
2013-02-13,2,BEAUTY,6.0,0
2013-02-14,2,BEAUTY,1.0,0
2013-02-15,2,BEAUTY,3.0,0
2013-02-16,2,BEAUTY,6.0,0
2013-02-17,2,BEAUTY,4.0,0
2013-02-18,2,BEAUTY,3.0,0
2013-02-19,2,BEAUTY,3.0,0
2013-02-20,2,BEAUTY,2.0,0
2013-02-21,2,BEAUTY,6.0,0
2013-02-22,2,BEAUTY,1.0,0
2013-02-23,2,BEAUTY,6.0,0
2013-02-24,2,BEAUTY,7.0,0
2013-02-25,2,BEAUTY,3.0,0
2013-02-26,2,BEAUTY,2.0,0
2013-02-27,2,BEAUTY,9.0,0
2013-02-28,2,BEAUTY,1.0,0
2013-03-01,2,BEAUTY,3.0,0
2013-03-02,2,BEAUTY,8.0,0
2013-03-03,2,BEAUTY,1.0,0
2013-03-04,2,BEAUTY,6.0,0
2013-03-05,2,BEAUTY,2.0,0
2013-03-06,2,BEAUTY,2.0,0
2013-03-07,2,BEAUTY,3.0,0
2013-03-08,2,BEAUTY,3.0,0
2013-03-09,2,BEAUTY,5.0,0
2013-03-10,2,BEAUTY,6.0,0
2013-03-11,2,BEAUTY,0.0,0
2013-03-12,2,BEAUTY,3.0,0
2013-03-13,2,BEAUTY,2.0,0
2013-03-14,2,BEAUTY,2.0,0
2013-03-15,2,BEAUTY,4.0,0
2013-03-16,2,BEAUTY,4.0,0
2013-03-17,2,BEAUTY,6.0,0
2013-03-18,2,BEAUTY,3.0,0
2013-03-19,2,BEAUTY,1.0,0
2013-03-20,2,BEAUTY,0.0,0
2013-03-21,2,BEAUTY,2.0,0
2013-03-22,2,BEAUTY,3.0,0
2013-03-23,2,BEAUTY,3.0,0
2013-03-24,2,BEAUTY,7.0,0
2013-03-25,2,BEAUTY,5.0,0
2013-03-26,2,BEAUTY,3.0,0
2013-03-27,2,BEAUTY,4.0,0
2013-03-28,2,BEAUTY,1.0,0
2013-03-29,2,BEAUTY,2.0,0
2013-03-30,2,BEAUTY,2.0,0
2013-03-31,2,BEAUTY,5.0,0
2013-04-01,2,BEAUTY,2.0,0
2013-04-02,2,BEAUTY,2.0,0
2013-04-03,2,BEAUTY,4.0,0
2013-04-04,2,BEAUTY,2.0,0
2013-04-05,2,BEAUTY,0.0,0
2013-04-06,2,BEAUTY,4.0,0
2013-04-07,2,BEAUTY,6.0,0
2013-04-08,2,BEAUTY,4.0,0
2013-04-09,2,BEAUTY,4.0,0
2013-04-10,2,BEAUTY,3.0,0
2013-04-11,2,BEAUTY,3.0,0
2013-04-12,2,BEAUTY,5.0,0
2013-04-13,2,BEAUTY,6.0,0
2013-04-14,2,BEAUTY,5.0,0
2013-04-15,2,BEAUTY,3.0,0
2013-04-16,2,BEAUTY,8.0,0
2013-04-17,2,BEAUTY,3.0,0
2013-04-18,2,BEAUTY,5.0,0
2013-04-19,2,BEAUTY,2.0,0
2013-04-20,2,BEAUTY,5.0,0
2013-04-21,2,BEAUTY,4.0,0
2013-04-22,2,BEAUTY,6.0,0
2013-04-23,2,BEAUTY,3.0,0
2013-04-24,2,BEAUTY,2.0,0
2013-04-25,2,BEAUTY,4.0,0
2013-04-26,2,BEAUTY,3.0,0
2013-04-27,2,BEAUTY,5.0,0
2013-04-28,2,BEAUTY,7.0,0
2013-04-29,2,BEAUTY,2.0,0
2013-04-30,2,BEAUTY,4.0,0
2013-05-01,2,BEAUTY,6.0,0
2013-05-02,2,BEAUTY,2.0,0
2013-05-03,2,BEAUTY,2.0,0
2013-05-04,2,BEAUTY,8.0,0
2013-05-05,2,BEAUTY,4.0,0
2013-05-06,2,BEAUTY,1.0,0
2013-05-07,2,BEAUTY,2.0,0
2013-05-08,2,BEAUTY,1.0,0
2013-05-09,2,BEAUTY,4.0,0
2013-05-10,2,BEAUTY,0.0,0
2013-05-11,2,BEAUTY,5.0,0
2013-05-12,2,BEAUTY,3.0,0
2013-05-13,2,BEAUTY,3.0,0
2013-05-14,2,BEAUTY,1.0,0
2013-05-15,2,BEAUTY,3.0,0
2013-05-16,2,BEAUTY,4.0,0
2013-05-17,2,BEAUTY,3.0,0
2013-05-18,2,BEAUTY,4.0,0
2013-05-19,2,BEAUTY,11.0,0
2013-05-20,2,BEAUTY,4.0,0
2013-05-21,2,BEAUTY,1.0,0
2013-05-22,2,BEAUTY,7.0,0
2013-05-23,2,BEAUTY,6.0,0
2013-05-24,2,BEAUTY,9.0,0
2013-05-25,2,BEAUTY,9.0,0
2013-05-26,2,BEAUTY,10.0,0
2013-05-27,2,BEAUTY,1.0,0
2013-05-28,2,BEAUTY,1.0,0
2013-05-29,2,BEAUTY,2.0,0
2013-05-30,2,BEAUTY,4.0,0
2013-05-31,2,BEAUTY,3.0,0
2013-06-01,2,BEAUTY,4.0,0
2013-06-02,2,BEAUTY,8.0,0
2013-06-03,2,BEAUTY,1.0,0
2013-06-04,2,BEAUTY,6.0,0
2013-06-05,2,BEAUTY,2.0,0
2013-06-06,2,BEAUTY,4.0,0
2013-06-07,2,BEAUTY,5.0,0
2013-06-08,2,BEAUTY,9.0,0
2013-06-09,2,BEAUTY,7.0,0
2013-06-10,2,BEAUTY,3.0,0
2013-06-11,2,BEAUTY,2.0,0
2013-06-12,2,BEAUTY,3.0,0
2013-06-13,2,BEAUTY,4.0,0
2013-06-14,2,BEAUTY,4.0,0
2013-06-15,2,BEAUTY,4.0,0
2013-06-16,2,BEAUTY,5.0,0
2013-06-17,2,BEAUTY,5.0,0
2013-06-18,2,BEAUTY,6.0,0
2013-06-19,2,BEAUTY,3.0,0
2013-06-20,2,BEAUTY,2.0,0
