date,store_nbr,family,sales,onpromotion
2013-01-01,5,CLEANING,0.0,0
2013-01-02,5,CLEANING,1810.0,0
2013-01-03,5,CLEANING,1305.0,0
2013-01-04,5,CLEANING,1159.0,0
2013-01-05,5,CLEANING,1257.0,0
2013-01-06,5,CLEANING,1751.0,0
2013-01-07,5,CLEANING,1043.0,0
2013-01-08,5,CLEANING,1062.0,0
2013-01-09,5,CLEANING,899.0,0
2013-01-10,5,CLEANING,992.0,0
2013-01-11,5,CLEANING,1029.0,0
2013-01-12,5,CLEANING,889.0,0
2013-01-13,5,CLEANING,1391.0,0
2013-01-14,5,CLEANING,871.0,0
2013-01-15,5,CLEANING,950.0,0
2013-01-16,5,CLEANING,1084.0,0
2013-01-17,5,CLEANING,884.0,0
2013-01-18,5,CLEANING,810.0,0
2013-01-19,5,CLEANING,1028.0,0
2013-01-20,5,CLEANING,1414.0,0
2013-01-21,5,CLEANING,1025.0,0
2013-01-22,5,CLEANING,918.0,0
2013-01-23,5,CLEANING,1105.0,0
2013-01-24,5,CLEANING,825.0,0
2013-01-25,5,CLEANING,960.0,0
2013-01-26,5,CLEANING,1199.0,0
2013-01-27,5,CLEANING,1128.0,0
2013-01-28,5,CLEANING,1018.0,0
2013-01-29,5,CLEANING,867.0,0
2013-01-30,5,CLEANING,961.0,0
2013-01-31,5,CLEANING,892.0,0
2013-02-01,5,CLEANING,1130.0,0
2013-02-02,5,CLEANING,1470.0,0
2013-02-03,5,CLEANING,1511.0,0
2013-02-04,5,CLEANING,1300.0,0
2013-02-05,5,CLEANING,1216.0,0
2013-02-06,5,CLEANING,1098.0,0
2013-02-07,5,CLEANING,911.0,0
2013-02-08,5,CLEANING,1156.0,0
2013-02-09,5,CLEANING,1272.0,0
2013-02-10,5,CLEANING,840.0,0
2013-02-11,5,CLEANING,652.0,0
2013-02-12,5,CLEANING,554.0,0
2013-02-13,5,CLEANING,1097.0,0
2013-02-14,5,CLEANING,997.0,0
2013-02-15,5,CLEANING,1120.0,0
2013-02-16,5,CLEANING,1360.0,0
2013-02-17,5,CLEANING,854.0,0
2013-02-18,5,CLEANING,1476.0,0
2013-02-19,5,CLEANING,941.0,0
2013-02-20,5,CLEANING,934.0,0
2013-02-21,5,CLEANING,867.0,0
2013-02-22,5,CLEANING,942.0,0
2013-02-23,5,CLEANING,1238.0,0
2013-02-24,5,CLEANING,1173.0,0
2013-02-25,5,CLEANING,933.0,0
2013-02-26,5,CLEANING,1048.0,0
2013-02-27,5,CLEANING,952.0,0
2013-02-28,5,CLEANING,887.0,0
2013-03-01,5,CLEANING,1189.0,0
2013-03-02,5,CLEANING,1452.0,0
2013-03-03,5,CLEANING,1418.0,0
2013-03-04,5,CLEANING,1371.0,0
2013-03-05,5,CLEANING,1106.0,0
2013-03-06,5,CLEANING,1133.0,0
2013-03-07,5,CLEANING,872.0,0
2013-03-08,5,CLEANING,941.0,0
2013-03-09,5,CLEANING,1062.0,0
2013-03-10,5,CLEANING,1134.0,0
2013-03-11,5,CLEANING,1098.0,0
2013-03-12,5,CLEANING,848.0,0
2013-03-13,5,CLEANING,1056.0,0
2013-03-14,5,CLEANING,750.0,0
2013-03-15,5,CLEANING,972.0,0
2013-03-16,5,CLEANING,1271.0,0
2013-03-17,5,CLEANING,1160.0,0
2013-03-18,5,CLEANING,1246.0,0
2013-03-19,5,CLEANING,879.0,0
2013-03-20,5,CLEANING,1264.0,0
2013-03-21,5,CLEANING,959.0,0
2013-03-22,5,CLEANING,954.0,0
2013-03-23,5,CLEANING,913.0,0
2013-03-24,5,CLEANING,1249.0,0
2013-03-25,5,CLEANING,1086.0,0
2013-03-26,5,CLEANING,832.0,0
2013-03-27,5,CLEANING,1173.0,0
2013-03-28,5,CLEANING,1046.0,0
2013-03-29,5,CLEANING,688.0,0
2013-03-30,5,CLEANING,1250.0,0
2013-03-31,5,CLEANING,1307.0,0
2013-04-01,5,CLEANING,1301.0,0
2013-04-02,5,CLEANING,1153.0,0
2013-04-03,5,CLEANING,1290.0,0
2013-04-04,5,CLEANING,880.0,0
2013-04-05,5,CLEANING,928.0,0
2013-04-06,5,CLEANING,971.0,0
2013-04-07,5,CLEANING,1283.0,0
2013-04-08,5,CLEANING,1051.0,0
2013-04-09,5,CLEANING,933.0,0
2013-04-10,5,CLEANING,1244.0,0
2013-04-11,5,CLEANING,877.0,0
2013-04-12,5,CLEANING,1005.0,0
2013-04-13,5,CLEANING,1094.0,0
2013-04-14,5,CLEANING,1006.0,0
2013-04-15,5,CLEANING,1014.0,0
2013-04-16,5,CLEANING,919.0,0
2013-04-17,5,CLEANING,928.0,0
2013-04-18,5,CLEANING,844.0,0
2013-04-19,5,CLEANING,902.0,0
2013-04-20,5,CLEANING,1148.0,0
2013-04-21,5,CLEANING,1062.0,0
2013-04-22,5,CLEANING,1042.0,0
2013-04-23,5,CLEANING,944.0,0
2013-04-24,5,CLEANING,971.0,0
2013-04-25,5,CLEANING,671.0,0
2013-04-26,5,CLEANING,918.0,0
2013-04-27,5,CLEANING,1050.0,0
2013-04-28,5,CLEANING,1218.0,0
2013-04-29,5,CLEANING,1049.0,0
2013-04-30,5,CLEANING,1021.0,0
2013-05-01,5,CLEANING,1390.0,0
2013-05-02,5,CLEANING,1127.0,0
2013-05-03,5,CLEANING,1034.0,0
2013-05-04,5,CLEANING,1217.0,0
2013-05-05,5,CLEANING,1762.0,0
2013-05-06,5,CLEANING,1189.0,0
2013-05-07,5,CLEANING,1049.0,0
2013-05-08,5,CLEANING,789.0,0
2013-05-09,5,CLEANING,976.0,0
2013-05-10,5,CLEANING,845.0,0
2013-05-11,5,CLEANING,1152.0,0
2013-05-12,5,CLEANING,1012.0,0
2013-05-13,5,CLEANING,1098.0,0
2013-05-14,5,CLEANING,901.0,0
2013-05-15,5,CLEANING,1143.0,0
2013-05-16,5,CLEANING,925.0,0
2013-05-17,5,CLEANING,880.0,0
2013-05-18,5,CLEANING,1282.0,0
2013-05-19,5,CLEANING,1460.0,0
2013-05-20,5,CLEANING,911.0,0
2013-05-21,5,CLEANING,705.0,0
2013-05-22,5,CLEANING,976.0,0
2013-05-23,5,CLEANING,929.0,0
2013-05-24,5,CLEANING,1135.0,0
2013-05-25,5,CLEANING,942.0,0
2013-05-26,5,CLEANING,1395.0,0
2013-05-27,5,CLEANING,1022.0,0
2013-05-28,5,CLEANING,748.0,0
2013-05-29,5,CLEANING,968.0,0
2013-05-30,5,CLEANING,840.0,0
2013-05-31,5,CLEANING,865.0,0
2013-06-01,5,CLEANING,1592.0,0
2013-06-02,5,CLEANING,1780.0,0
2013-06-03,5,CLEANING,1156.0,0
2013-06-04,5,CLEANING,1129.0,0
2013-06-05,5,CLEANING,1007.0,0
2013-06-06,5,CLEANING,983.0,0
2013-06-07,5,CLEANING,987.0,0
2013-06-08,5,CLEANING,1160.0,0
2013-06-09,5,CLEANING,1401.0,0
2013-06-10,5,CLEANING,1013.0,0
2013-06-11,5,CLEANING,986.0,0
2013-06-12,5,CLEANING,947.0,0
2013-06-13,5,CLEANING,740.0,0
2013-06-14,5,CLEANING,841.0,0
2013-06-15,5,CLEANING,1088.0,0
2013-06-16,5,CLEANING,1108.0,0
