date,store_nbr,family,sales,onpromotion
2013-01-01,5,EGGS,0.0,0
2013-01-02,5,EGGS,246.0,0
2013-01-03,5,EGGS,120.0,0
2013-01-04,5,EGGS,141.0,0
2013-01-05,5,EGGS,143.0,0
2013-01-06,5,EGGS,251.0,0
2013-01-07,5,EGGS,165.0,0
2013-01-08,5,EGGS,141.0,0
2013-01-09,5,EGGS,135.0,0
2013-01-10,5,EGGS,130.0,0
2013-01-11,5,EGGS,120.0,0
2013-01-12,5,EGGS,128.0,0
2013-01-13,5,EGGS,207.0,0
2013-01-14,5,EGGS,166.0,0
2013-01-15,5,EGGS,119.0,0
2013-01-16,5,EGGS,152.0,0
2013-01-17,5,EGGS,109.0,0
2013-01-18,5,EGGS,132.0,0
2013-01-19,5,EGGS,163.0,0
2013-01-20,5,EGGS,187.0,0
2013-01-21,5,EGGS,136.0,0
2013-01-22,5,EGGS,117.0,0
2013-01-23,5,EGGS,133.0,0
2013-01-24,5,EGGS,119.0,0
2013-01-25,5,EGGS,128.0,0
2013-01-26,5,EGGS,131.0,0
2013-01-27,5,EGGS,185.0,0
2013-01-28,5,EGGS,136.0,0
2013-01-29,5,EGGS,121.0,0
2013-01-30,5,EGGS,121.0,0
2013-01-31,5,EGGS,125.0,0
2013-02-01,5,EGGS,165.0,0
2013-02-02,5,EGGS,181.0,0
2013-02-03,5,EGGS,197.0,0
2013-02-04,5,EGGS,164.0,0
2013-02-05,5,EGGS,139.0,0
2013-02-06,5,EGGS,131.0,0
2013-02-07,5,EGGS,133.0,0
2013-02-08,5,EGGS,154.0,0
2013-02-09,5,EGGS,159.0,0
2013-02-10,5,EGGS,117.0,0
2013-02-11,5,EGGS,107.0,0
2013-02-12,5,EGGS,93.0,0
2013-02-13,5,EGGS,142.0,0
2013-02-14,5,EGGS,153.0,0
2013-02-15,5,EGGS,138.0,0
2013-02-16,5,EGGS,235.0,0
2013-02-17,5,EGGS,116.0,0
2013-02-18,5,EGGS,179.0,0
2013-02-19,5,EGGS,116.0,0
2013-02-20,5,EGGS,138.0,0
2013-02-21,5,EGGS,84.0,0
2013-02-22,5,EGGS,132.0,0
2013-02-23,5,EGGS,158.0,0
2013-02-24,5,EGGS,210.0,0
2013-02-25,5,EGGS,152.0,0
2013-02-26,5,EGGS,130.0,0
2013-02-27,5,EGGS,136.0,0
2013-02-28,5,EGGS,129.0,0
2013-03-01,5,EGGS,128.0,0
2013-03-02,5,EGGS,160.0,0
2013-03-03,5,EGGS,221.0,0
2013-03-04,5,EGGS,180.0,0
2013-03-05,5,EGGS,134.0,0
2013-03-06,5,EGGS,120.0,0
2013-03-07,5,EGGS,114.0,0
2013-03-08,5,EGGS,97.0,0
2013-03-09,5,EGGS,146.0,0
2013-03-10,5,EGGS,176.0,0
2013-03-11,5,EGGS,138.0,0
2013-03-12,5,EGGS,110.0,0
2013-03-13,5,EGGS,117.0,0
2013-03-14,5,EGGS,86.0,0
2013-03-15,5,EGGS,126.0,0
2013-03-16,5,EGGS,147.0,0
2013-03-17,5,EGGS,179.0,0
2013-03-18,5,EGGS,198.0,0
2013-03-19,5,EGGS,110.0,0
2013-03-20,5,EGGS,143.0,0
2013-03-21,5,EGGS,129.0,0
2013-03-22,5,EGGS,110.0,0
2013-03-23,5,EGGS,121.0,0
2013-03-24,5,EGGS,160.0,0
2013-03-25,5,EGGS,165.0,0
2013-03-26,5,EGGS,129.0,0
2013-03-27,5,EGGS,141.0,0
2013-03-28,5,EGGS,162.0,0
2013-03-29,5,EGGS,120.0,0
2013-03-30,5,EGGS,160.0,0
2013-03-31,5,EGGS,165.0,0
2013-04-01,5,EGGS,172.0,0
2013-04-02,5,EGGS,161.0,0
2013-04-03,5,EGGS,156.0,0
2013-04-04,5,EGGS,107.0,0
2013-04-05,5,EGGS,119.0,0
2013-04-06,5,EGGS,162.0,0
2013-04-07,5,EGGS,201.0,0
2013-04-08,5,EGGS,137.0,0
2013-04-09,5,EGGS,134.0,0
2013-04-10,5,EGGS,140.0,0
2013-04-11,5,EGGS,103.0,0
2013-04-12,5,EGGS,117.0,0
2013-04-13,5,EGGS,153.0,0
2013-04-14,5,EGGS,159.0,0
2013-04-15,5,EGGS,171.0,0
2013-04-16,5,EGGS,166.0,0
2013-04-17,5,EGGS,112.0,0
2013-04-18,5,EGGS,101.0,0
2013-04-19,5,EGGS,126.0,0
2013-04-20,5,EGGS,150.0,0
2013-04-21,5,EGGS,169.0,0
2013-04-22,5,EGGS,164.0,0
2013-04-23,5,EGGS,114.0,0
2013-04-24,5,EGGS,140.0,0
2013-04-25,5,EGGS,104.0,0
2013-04-26,5,EGGS,128.0,0
2013-04-27,5,EGGS,142.0,0
2013-04-28,5,EGGS,195.0,0
2013-04-29,5,EGGS,157.0,0
2013-04-30,5,EGGS,109.0,0
2013-05-01,5,EGGS,171.0,0
2013-05-02,5,EGGS,152.0,0
2013-05-03,5,EGGS,134.0,0
2013-05-04,5,EGGS,171.0,0
2013-05-05,5,EGGS,274.0,0
2013-05-06,5,EGGS,130.0,0
2013-05-07,5,EGGS,131.0,0
2013-05-08,5,EGGS,114.0,0
2013-05-09,5,EGGS,94.0,0
2013-05-10,5,EGGS,129.0,0
2013-05-11,5,EGGS,152.0,0
2013-05-12,5,EGGS,164.0,0
2013-05-13,5,EGGS,145.0,0
2013-05-14,5,EGGS,114.0,0
2013-05-15,5,EGGS,135.0,0
2013-05-16,5,EGGS,123.0,0
2013-05-17,5,EGGS,109.0,0
2013-05-18,5,EGGS,138.0,0
2013-05-19,5,EGGS,230.0,0
2013-05-20,5,EGGS,151.0,0
2013-05-21,5,EGGS,109.0,0
2013-05-22,5,EGGS,121.0,0
2013-05-23,5,EGGS,111.0,0
2013-05-24,5,EGGS,163.0,0
2013-05-25,5,EGGS,151.0,0
2013-05-26,5,EGGS,217.0,0
2013-05-27,5,EGGS,130.0,0
2013-05-28,5,EGGS,127.0,0
2013-05-29,5,EGGS,107.0,0
2013-05-30,5,EGGS,113.0,0
2013-05-31,5,EGGS,108.0,0
2013-06-01,5,EGGS,165.0,0
2013-06-02,5,EGGS,254.0,0
2013-06-03,5,EGGS,167.0,0
2013-06-04,5,EGGS,123.0,0
2013-06-05,5,EGGS,151.0,0
2013-06-06,5,EGGS,83.0,0
2013-06-07,5,EGGS,128.0,0
2013-06-08,5,EGGS,151.0,0
2013-06-09,5,EGGS,237.0,0
2013-06-10,5,EGGS,159.0,0
2013-06-11,5,EGGS,103.0,0
2013-06-12,5,EGGS,144.0,0
2013-06-13,5,EGGS,95.0,0
2013-06-14,5,EGGS,137.0,0
2013-06-15,5,EGGS,129.0,0
2013-06-16,5,EGGS,187.0,0
2013-06-17,5,EGGS,187.0,0
2013-06-18,5,EGGS,145.0,0
2013-06-19,5,EGGS,127.0,0
