date,store_nbr,family,sales,onpromotion
2013-01-01,5,MEATS,0.0,0
2013-01-02,5,MEATS,455.0,0
2013-01-03,5,MEATS,353.0,0
2013-01-04,5,MEATS,407.0,0
2013-01-05,5,MEATS,467.0,0
2013-01-06,5,MEATS,537.0,0
2013-01-07,5,MEATS,228.0,0
2013-01-08,5,MEATS,314.0,0
2013-01-09,5,MEATS,345.0,0
2013-01-10,5,MEATS,263.0,0
2013-01-11,5,MEATS,351.0,0
2013-01-12,5,MEATS,377.0,0
2013-01-13,5,MEATS,439.0,0
2013-01-14,5,MEATS,316.0,0
2013-01-15,5,MEATS,312.0,0
2013-01-16,5,MEATS,380.0,0
2013-01-17,5,MEATS,248.0,0
2013-01-18,5,MEATS,300.0,0
2013-01-19,5,MEATS,308.0,0
2013-01-20,5,MEATS,467.0,0
2013-01-21,5,MEATS,308.0,0
2013-01-22,5,MEATS,295.0,0
2013-01-23,5,MEATS,316.0,0
2013-01-24,5,MEATS,264.0,0
2013-01-25,5,MEATS,311.0,0
2013-01-26,5,MEATS,361.0,0
2013-01-27,5,MEATS,328.0,0
2013-01-28,5,MEATS,307.0,0
2013-01-29,5,MEATS,254.0,0
2013-01-30,5,MEATS,255.0,0
2013-01-31,5,MEATS,316.0,0
2013-02-01,5,MEATS,352.0,0
2013-02-02,5,MEATS,456.0,0
2013-02-03,5,MEATS,415.0,0
2013-02-04,5,MEATS,380.0,0
2013-02-05,5,MEATS,333.0,0
2013-02-06,5,MEATS,315.0,0
2013-02-07,5,MEATS,269.0,0
2013-02-08,5,MEATS,371.0,0
2013-02-09,5,MEATS,378.0,0
2013-02-10,5,MEATS,281.0,0
2013-02-11,5,MEATS,241.0,0
2013-02-12,5,MEATS,218.0,0
2013-02-13,5,MEATS,349.0,0
2013-02-14,5,MEATS,288.0,0
2013-02-15,5,MEATS,340.0,0
2013-02-16,5,MEATS,398.0,0
2013-02-17,5,MEATS,266.0,0
2013-02-18,5,MEATS,352.0,0
2013-02-19,5,MEATS,274.0,0
2013-02-20,5,MEATS,292.0,0
2013-02-21,5,MEATS,211.0,0
2013-02-22,5,MEATS,296.0,0
2013-02-23,5,MEATS,362.0,0
2013-02-24,5,MEATS,382.0,0
2013-02-25,5,MEATS,324.0,0
2013-02-26,5,MEATS,273.0,0
2013-02-27,5,MEATS,255.0,0
2013-02-28,5,MEATS,252.0,0
2013-03-01,5,MEATS,330.0,0
2013-03-02,5,MEATS,401.0,0
2013-03-03,5,MEATS,388.0,0
2013-03-04,5,MEATS,380.0,0
2013-03-05,5,MEATS,304.0,0
2013-03-06,5,MEATS,308.0,0
2013-03-07,5,MEATS,259.0,0
2013-03-08,5,MEATS,268.0,0
2013-03-09,5,MEATS,314.0,0
2013-03-10,5,MEATS,368.0,0
2013-03-11,5,MEATS,355.0,0
2013-03-12,5,MEATS,243.0,0
2013-03-13,5,MEATS,265.0,0
2013-03-14,5,MEATS,197.0,0
2013-03-15,5,MEATS,294.0,0
2013-03-16,5,MEATS,356.0,0
2013-03-17,5,MEATS,328.0,0
2013-03-18,5,MEATS,365.0,0
2013-03-19,5,MEATS,266.0,0
2013-03-20,5,MEATS,284.0,0
2013-03-21,5,MEATS,231.0,0
2013-03-22,5,MEATS,241.0,0
2013-03-23,5,MEATS,267.0,0
2013-03-24,5,MEATS,298.0,0
2013-03-25,5,MEATS,240.0,0
2013-03-26,5,MEATS,205.0,0
2013-03-27,5,MEATS,227.0,0
2013-03-28,5,MEATS,198.0,0
2013-03-29,5,MEATS,201.0,0
2013-03-30,5,MEATS,278.0,0
2013-03-31,5,MEATS,402.0,0
2013-04-01,5,MEATS,428.0,0
2013-04-02,5,MEATS,392.0,0
2013-04-03,5,MEATS,307.0,0
2013-04-04,5,MEATS,232.0,0
2013-04-05,5,MEATS,298.0,0
2013-04-06,5,MEATS,375.0,0
2013-04-07,5,MEATS,389.0,0
2013-04-08,5,MEATS,369.0,0
2013-04-09,5,MEATS,279.0,0
2013-04-10,5,MEATS,287.0,0
2013-04-11,5,MEATS,238.0,0
2013-04-12,5,MEATS,276.0,0
2013-04-13,5,MEATS,326.0,0
2013-04-14,5,MEATS,333.0,0
2013-04-15,5,MEATS,328.0,0
2013-04-16,5,MEATS,329.0,0
2013-04-17,5,MEATS,255.0,0
2013-04-18,5,MEATS,218.0,0
2013-04-19,5,MEATS,332.0,0
2013-04-20,5,MEATS,301.0,0
2013-04-21,5,MEATS,390.0,0
2013-04-22,5,MEATS,278.0,0
2013-04-23,5,MEATS,285.0,0
2013-04-24,5,MEATS,332.0,0
2013-04-25,5,MEATS,184.0,0
2013-04-26,5,MEATS,288.0,0
2013-04-27,5,MEATS,294.0,0
2013-04-28,5,MEATS,372.0,0
2013-04-29,5,MEATS,316.0,0
2013-04-30,5,MEATS,263.0,0
2013-05-01,5,MEATS,315.0,0
2013-05-02,5,MEATS,378.0,0
2013-05-03,5,MEATS,297.0,0
2013-05-04,5,MEATS,394.0,0
2013-05-05,5,MEATS,548.0,0
2013-05-06,5,MEATS,347.0,0
2013-05-07,5,MEATS,292.0,0
2013-05-08,5,MEATS,259.0,0
2013-05-09,5,MEATS,232.0,0
2013-05-10,5,MEATS,282.0,0
2013-05-11,5,MEATS,360.0,0
2013-05-12,5,MEATS,353.0,0
2013-05-13,5,MEATS,247.0,0
2013-05-14,5,MEATS,267.0,0
2013-05-15,5,MEATS,249.0,0
2013-05-16,5,MEATS,238.0,0
2013-05-17,5,MEATS,270.0,0
2013-05-18,5,MEATS,361.0,0
2013-05-19,5,MEATS,432.0,0
2013-05-20,5,MEATS,323.0,0
2013-05-21,5,MEATS,251.0,0
2013-05-22,5,MEATS,261.0,0
2013-05-23,5,MEATS,247.0,0
2013-05-24,5,MEATS,387.0,0
2013-05-25,5,MEATS,314.0,0
2013-05-26,5,MEATS,407.0,0
2013-05-27,5,MEATS,319.0,0
2013-05-28,5,MEATS,333.0,0
2013-05-29,5,MEATS,312.0,0
2013-05-30,5,MEATS,254.0,0
2013-05-31,5,MEATS,326.0,0
2013-06-01,5,MEATS,432.0,0
2013-06-02,5,MEATS,576.0,0
2013-06-03,5,MEATS,405.0,0
2013-06-04,5,MEATS,306.0,0
2013-06-05,5,MEATS,329.0,0
2013-06-06,5,MEATS,241.0,0
2013-06-07,5,MEATS,319.0,0
2013-06-08,5,MEATS,383.0,0
2013-06-09,5,MEATS,383.0,0
2013-06-10,5,MEATS,315.0,0
2013-06-11,5,MEATS,269.0,0
2013-06-12,5,MEATS,291.0,0
2013-06-13,5,MEATS,269.0,0
2013-06-14,5,MEATS,256.0,0
2013-06-15,5,MEATS,388.0,0
2013-06-16,5,MEATS,377.0,0
2013-06-17,5,MEATS,338.0,0
2013-06-18,5,MEATS,292.0,0
2013-06-19,5,MEATS,231.0,0
2013-06-20,5,MEATS,230.0,0
2013-06-21,5,MEATS,357.0,0
2013-06-22,5,MEATS,276.0,0
2013-06-23,5,MEATS,375.0,0
2013-06-24,5,MEATS,413.0,0
2013-06-25,5,MEATS,311.0,0
2013-06-26,5,MEATS,238.0,0
2013-06-27,5,MEATS,176.0,0
2013-06-28,5,MEATS,294.0,0
2013-06-29,5,MEATS,341.0,0
2013-06-30,5,MEATS,375.0,0
2013-07-01,5,MEATS,372.0,0
2013-07-02,5,MEATS,205.0,0
2013-07-03,5,MEATS,171.0,0
2013-07-04,5,MEATS,395.0,0
2013-07-05,5,MEATS,410.0,0
2013-07-06,5,MEATS,360.0,0
2013-07-07,5,MEATS,416.0,0
2013-07-08,5,MEATS,284.0,0
2013-07-09,5,MEATS,220.0,0
2013-07-10,5,MEATS,278.0,0
2013-07-11,5,MEATS,245.0,0
2013-07-12,5,MEATS,272.0,0
2013-07-13,5,MEATS,278.0,0
2013-07-14,5,MEATS,345.0,0
2013-07-15,5,MEATS,331.0,0
2013-07-16,5,MEATS,286.0,0
2013-07-17,5,MEATS,301.0,0
2013-07-18,5,MEATS,239.0,0
2013-07-19,5,MEATS,280.0,0
2013-07-20,5,MEATS,317.0,0
2013-07-21,5,MEATS,352.0,0
2013-07-22,5,MEATS,308.0,0
2013-07-23,5,MEATS,252.0,0
2013-07-24,5,MEATS,290.0,0
2013-07-25,5,MEATS,242.0,0
2013-07-26,5,MEATS,283.0,0
2013-07-27,5,MEATS,329.0,0
2013-07-28,5,MEATS,348.0,0
2013-07-29,5,MEATS,301.0,0
2013-07-30,5,MEATS,243.0,0
2013-07-31,5,MEATS,302.0,0
2013-08-01,5,MEATS,320.0,0
2013-08-02,5,MEATS,387.0,0
2013-08-03,5,MEATS,455.0,0
2013-08-04,5,MEATS,430.0,0
2013-08-05,5,MEATS,346.0,0
2013-08-06,5,MEATS,279.0,0
2013-08-07,5,MEATS,312.0,0
2013-08-08,5,MEATS,248.0,0
2013-08-09,5,MEATS,364.0,0
2013-08-10,5,MEATS,289.0,0
2013-08-11,5,MEATS,380.0,0
2013-08-12,5,MEATS,336.0,0
2013-08-13,5,MEATS,249.0,0
2013-08-14,5,MEATS,261.0,0
2013-08-15,5,MEATS,284.0,0
2013-08-16,5,MEATS,354.0,0
2013-08-17,5,MEATS,324.0,0
2013-08-18,5,MEATS,398.0,0
2013-08-19,5,MEATS,365.0,0
2013-08-20,5,MEATS,242.0,0
2013-08-21,5,MEATS,255.0,0
2013-08-22,5,MEATS,268.0,0
2013-08-23,5,MEATS,337.0,0
2013-08-24,5,MEATS,385.0,0
2013-08-25,5,MEATS,339.0,0
2013-08-26,5,MEATS,317.0,0
2013-08-27,5,MEATS,282.0,0
2013-08-28,5,MEATS,288.0,0
2013-08-29,5,MEATS,237.0,0
2013-08-30,5,MEATS,330.0,0
2013-08-31,5,MEATS,324.0,0
2013-09-01,5,MEATS,487.0,0
2013-09-02,5,MEATS,344.0,0
2013-09-03,5,MEATS,278.0,0
2013-09-04,5,MEATS,272.0,0
2013-09-05,5,MEATS,214.0,0
2013-09-06,5,MEATS,328.0,0
2013-09-07,5,MEATS,327.0,0
2013-09-08,5,MEATS,376.0,0
2013-09-09,5,MEATS,303.0,0
2013-09-10,5,MEATS,276.0,0
2013-09-11,5,MEATS,256.0,0
2013-09-12,5,MEATS,257.0,0
2013-09-13,5,MEATS,289.0,0
2013-09-14,5,MEATS,281.0,0
2013-09-15,5,MEATS,418.0,0
2013-09-16,5,MEATS,306.0,0
2013-09-17,5,MEATS,255.0,0
2013-09-18,5,MEATS,258.0,0
2013-09-19,5,MEATS,235.0,0
2013-09-20,5,MEATS,287.0,0
2013-09-21,5,MEATS,338.0,0
2013-09-22,5,MEATS,387.0,0
2013-09-23,5,MEATS,271.0,0
2013-09-24,5,MEATS,230.0,0
2013-09-25,5,MEATS,247.0,0
2013-09-26,5,MEATS,211.0,0
2013-09-27,5,MEATS,229.0,0
2013-09-28,5,MEATS,279.0,0
2013-09-29,5,MEATS,319.0,0
2013-09-30,5,MEATS,238.0,0
2013-10-01,5,MEATS,279.0,0
2013-10-02,5,MEATS,277.0,0
2013-10-03,5,MEATS,216.0,0
2013-10-04,5,MEATS,258.0,0
2013-10-05,5,MEATS,260.0,0
2013-10-06,5,MEATS,365.0,0
2013-10-07,5,MEATS,305.0,0
2013-10-08,5,MEATS,258.0,0
2013-10-09,5,MEATS,202.0,0
2013-10-10,5,MEATS,294.0,0
2013-10-11,5,MEATS,339.0,0
2013-10-12,5,MEATS,304.0,0
2013-10-13,5,MEATS,396.0,0
2013-10-14,5,MEATS,344.0,0
2013-10-15,5,MEATS,251.0,0
2013-10-16,5,MEATS,338.0,0
2013-10-17,5,MEATS,243.0,0
2013-10-18,5,MEATS,296.0,0
2013-10-19,5,MEATS,344.0,0
2013-10-20,5,MEATS,450.0,0
2013-10-21,5,MEATS,251.0,0
2013-10-22,5,MEATS,206.0,0
2013-10-23,5,MEATS,271.0,0
2013-10-24,5,MEATS,261.0,0
2013-10-25,5,MEATS,305.0,0
2013-10-26,5,MEATS,293.0,0
2013-10-27,5,MEATS,385.0,0
2013-10-28,5,MEATS,345.0,0
2013-10-29,5,MEATS,220.0,0
2013-10-30,5,MEATS,192.0,0
2013-10-31,5,MEATS,202.0,0
2013-11-01,5,MEATS,385.0,0
2013-11-02,5,MEATS,364.0,0
2013-11-03,5,MEATS,440.0,0
2013-11-04,5,MEATS,317.0,0
2013-11-05,5,MEATS,245.0,0
2013-11-06,5,MEATS,323.0,0
2013-11-07,5,MEATS,290.0,0
2013-11-08,5,MEATS,288.0,0
2013-11-09,5,MEATS,331.0,0
2013-11-10,5,MEATS,361.0,0
2013-11-11,5,MEATS,288.0,0
2013-11-12,5,MEATS,223.0,0
2013-11-13,5,MEATS,279.0,0
2013-11-14,5,MEATS,226.0,0
2013-11-15,5,MEATS,301.0,0
2013-11-16,5,MEATS,318.0,0
2013-11-17,5,MEATS,448.0,0
2013-11-18,5,MEATS,275.0,0
2013-11-19,5,MEATS,232.0,0
2013-11-20,5,MEATS,314.0,0
2013-11-21,5,MEATS,216.0,0
2013-11-22,5,MEATS,266.0,0
2013-11-23,5,MEATS,363.0,0
2013-11-24,5,MEATS,309.0,0
2013-11-25,5,MEATS,306.0,0
2013-11-26,5,MEATS,259.0,0
2013-11-27,5,MEATS,196.0,0
2013-11-28,5,MEATS,167.0,0
2013-11-29,5,MEATS,280.0,0
2013-11-30,5,MEATS,291.0,0
2013-12-01,5,MEATS,470.0,0
2013-12-02,5,MEATS,260.0,0
2013-12-03,5,MEATS,299.0,0
2013-12-04,5,MEATS,259.0,0
2013-12-05,5,MEATS,273.0,0
2013-12-06,5,MEATS,292.0,0
2013-12-07,5,MEATS,327.0,0
2013-12-08,5,MEATS,382.0,0
2013-12-09,5,MEATS,247.0,0
2013-12-10,5,MEATS,286.0,0
2013-12-11,5,MEATS,255.0,0
2013-12-12,5,MEATS,248.0,0
2013-12-13,5,MEATS,285.0,0
2013-12-14,5,MEATS,316.0,0
2013-12-15,5,MEATS,318.0,0
2013-12-16,5,MEATS,379.0,0
2013-12-17,5,MEATS,267.0,0
2013-12-18,5,MEATS,310.0,0
2013-12-19,5,MEATS,258.0,0
2013-12-20,5,MEATS,318.0,0
2013-12-21,5,MEATS,330.0,0
2013-12-22,5,MEATS,357.0,0
2013-12-23,5,MEATS,497.0,0
2013-12-24,5,MEATS,301.0,0
2013-12-26,5,MEATS,320.0,0
