date,store_nbr,family,sales,onpromotion
2013-01-01,5,PERSONAL CARE,0.0,0
2013-01-02,5,PERSONAL CARE,427.0,0
2013-01-03,5,PERSONAL CARE,312.0,0
2013-01-04,5,PERSONAL CARE,265.0,0
2013-01-05,5,PERSONAL CARE,330.0,0
2013-01-06,5,PERSONAL CARE,489.0,0
2013-01-07,5,PERSONAL CARE,279.0,0
2013-01-08,5,PERSONAL CARE,244.0,0
2013-01-09,5,PERSONAL CARE,209.0,0
2013-01-10,5,PERSONAL CARE,228.0,0
2013-01-11,5,PERSONAL CARE,185.0,0
2013-01-12,5,PERSONAL CARE,197.0,0
2013-01-13,5,PERSONAL CARE,303.0,0
2013-01-14,5,PERSONAL CARE,240.0,0
2013-01-15,5,PERSONAL CARE,217.0,0
2013-01-16,5,PERSONAL CARE,223.0,0
2013-01-17,5,PERSONAL CARE,182.0,0
2013-01-18,5,PERSONAL CARE,175.0,0
2013-01-19,5,PERSONAL CARE,260.0,0
2013-01-20,5,PERSONAL CARE,338.0,0
2013-01-21,5,PERSONAL CARE,187.0,0
2013-01-22,5,PERSONAL CARE,231.0,0
2013-01-23,5,PERSONAL CARE,187.0,0
2013-01-24,5,PERSONAL CARE,140.0,0
2013-01-25,5,PERSONAL CARE,161.0,0
2013-01-26,5,PERSONAL CARE,256.0,0
2013-01-27,5,PERSONAL CARE,274.0,0
2013-01-28,5,PERSONAL CARE,218.0,0
2013-01-29,5,PERSONAL CARE,159.0,0
2013-01-30,5,PERSONAL CARE,193.0,0
2013-01-31,5,PERSONAL CARE,204.0,0
2013-02-01,5,PERSONAL CARE,222.0,0
2013-02-02,5,PERSONAL CARE,312.0,0
2013-02-03,5,PERSONAL CARE,301.0,0
2013-02-04,5,PERSONAL CARE,244.0,0
2013-02-05,5,PERSONAL CARE,200.0,0
2013-02-06,5,PERSONAL CARE,211.0,0
2013-02-07,5,PERSONAL CARE,185.0,0
2013-02-08,5,PERSONAL CARE,201.0,0
2013-02-09,5,PERSONAL CARE,224.0,0
2013-02-10,5,PERSONAL CARE,149.0,0
2013-02-11,5,PERSONAL CARE,115.0,0
2013-02-12,5,PERSONAL CARE,119.0,0
2013-02-13,5,PERSONAL CARE,220.0,0
2013-02-14,5,PERSONAL CARE,180.0,0
2013-02-15,5,PERSONAL CARE,198.0,0
2013-02-16,5,PERSONAL CARE,287.0,0
2013-02-17,5,PERSONAL CARE,216.0,0
2013-02-18,5,PERSONAL CARE,300.0,0
2013-02-19,5,PERSONAL CARE,182.0,0
2013-02-20,5,PERSONAL CARE,168.0,0
2013-02-21,5,PERSONAL CARE,174.0,0
2013-02-22,5,PERSONAL CARE,161.0,0
2013-02-23,5,PERSONAL CARE,234.0,0
2013-02-24,5,PERSONAL CARE,255.0,0
2013-02-25,5,PERSONAL CARE,214.0,0
2013-02-26,5,PERSONAL CARE,230.0,0
2013-02-27,5,PERSONAL CARE,158.0,0
2013-02-28,5,PERSONAL CARE,157.0,0
2013-03-01,5,PERSONAL CARE,255.0,0
2013-03-02,5,PERSONAL CARE,352.0,0
2013-03-03,5,PERSONAL CARE,355.0,0
2013-03-04,5,PERSONAL CARE,315.0,0
2013-03-05,5,PERSONAL CARE,199.0,0
2013-03-06,5,PERSONAL CARE,194.0,0
2013-03-07,5,PERSONAL CARE,185.0,0
2013-03-08,5,PERSONAL CARE,154.0,0
2013-03-09,5,PERSONAL CARE,200.0,0
2013-03-10,5,PERSONAL CARE,286.0,0
2013-03-11,5,PERSONAL CARE,178.0,0
2013-03-12,5,PERSONAL CARE,196.0,0
2013-03-13,5,PERSONAL CARE,211.0,0
2013-03-14,5,PERSONAL CARE,172.0,0
2013-03-15,5,PERSONAL CARE,185.0,0
2013-03-16,5,PERSONAL CARE,267.0,0
2013-03-17,5,PERSONAL CARE,258.0,0
2013-03-18,5,PERSONAL CARE,257.0,0
2013-03-19,5,PERSONAL CARE,161.0,0
2013-03-20,5,PERSONAL CARE,228.0,0
2013-03-21,5,PERSONAL CARE,156.0,0
2013-03-22,5,PERSONAL CARE,128.0,0
2013-03-23,5,PERSONAL CARE,210.0,0
2013-03-24,5,PERSONAL CARE,262.0,0
2013-03-25,5,PERSONAL CARE,244.0,0
2013-03-26,5,PERSONAL CARE,177.0,0
2013-03-27,5,PERSONAL CARE,237.0,0
2013-03-28,5,PERSONAL CARE,180.0,0
2013-03-29,5,PERSONAL CARE,150.0,0
2013-03-30,5,PERSONAL CARE,266.0,0
2013-03-31,5,PERSONAL CARE,276.0,0
2013-04-01,5,PERSONAL CARE,331.0,0
2013-04-02,5,PERSONAL CARE,273.0,0
2013-04-03,5,PERSONAL CARE,259.0,0
2013-04-04,5,PERSONAL CARE,174.0,0
2013-04-05,5,PERSONAL CARE,249.0,0
2013-04-06,5,PERSONAL CARE,302.0,0
2013-04-07,5,PERSONAL CARE,399.0,0
2013-04-08,5,PERSONAL CARE,307.0,0
2013-04-09,5,PERSONAL CARE,225.0,0
2013-04-10,5,PERSONAL CARE,231.0,0
2013-04-11,5,PERSONAL CARE,250.0,0
2013-04-12,5,PERSONAL CARE,214.0,0
2013-04-13,5,PERSONAL CARE,265.0,0
2013-04-14,5,PERSONAL CARE,254.0,0
2013-04-15,5,PERSONAL CARE,227.0,0
2013-04-16,5,PERSONAL CARE,231.0,0
2013-04-17,5,PERSONAL CARE,263.0,0
2013-04-18,5,PERSONAL CARE,200.0,0
2013-04-19,5,PERSONAL CARE,196.0,0
2013-04-20,5,PERSONAL CARE,240.0,0
2013-04-21,5,PERSONAL CARE,308.0,0
2013-04-22,5,PERSONAL CARE,277.0,0
2013-04-23,5,PERSONAL CARE,213.0,0
2013-04-24,5,PERSONAL CARE,246.0,0
2013-04-25,5,PERSONAL CARE,184.0,0
2013-04-26,5,PERSONAL CARE,152.0,0
2013-04-27,5,PERSONAL CARE,214.0,0
2013-04-28,5,PERSONAL CARE,267.0,0
2013-04-29,5,PERSONAL CARE,216.0,0
2013-04-30,5,PERSONAL CARE,206.0,0
2013-05-01,5,PERSONAL CARE,350.0,0
2013-05-02,5,PERSONAL CARE,214.0,0
2013-05-03,5,PERSONAL CARE,222.0,0
2013-05-04,5,PERSONAL CARE,286.0,0
2013-05-05,5,PERSONAL CARE,434.0,0
2013-05-06,5,PERSONAL CARE,203.0,0
2013-05-07,5,PERSONAL CARE,204.0,0
2013-05-08,5,PERSONAL CARE,209.0,0
2013-05-09,5,PERSONAL CARE,179.0,0
2013-05-10,5,PERSONAL CARE,143.0,0
2013-05-11,5,PERSONAL CARE,248.0,0
2013-05-12,5,PERSONAL CARE,230.0,0
2013-05-13,5,PERSONAL CARE,163.0,0
2013-05-14,5,PERSONAL CARE,174.0,0
2013-05-15,5,PERSONAL CARE,180.0,0
2013-05-16,5,PERSONAL CARE,176.0,0
