date,store_nbr,family,sales,onpromotion
2013-01-01,5,POULTRY,0.0,0
2013-01-02,5,POULTRY,312.0,0
2013-01-03,5,POULTRY,196.0,0
2013-01-04,5,POULTRY,167.0,0
2013-01-05,5,POULTRY,226.0,0
2013-01-06,5,POULTRY,268.0,0
2013-01-07,5,POULTRY,157.0,0
2013-01-08,5,POULTRY,161.0,0
2013-01-09,5,POULTRY,159.0,0
2013-01-10,5,POULTRY,148.0,0
2013-01-11,5,POULTRY,150.0,0
2013-01-12,5,POULTRY,169.0,0
2013-01-13,5,POULTRY,257.0,0
2013-01-14,5,POULTRY,162.0,0
2013-01-15,5,POULTRY,173.0,0
2013-01-16,5,POULTRY,167.0,0
2013-01-17,5,POULTRY,158.0,0
2013-01-18,5,POULTRY,141.0,0
2013-01-19,5,POULTRY,193.0,0
2013-01-20,5,POULTRY,250.0,0
2013-01-21,5,POULTRY,213.0,0
2013-01-22,5,POULTRY,117.0,0
2013-01-23,5,POULTRY,155.0,0
2013-01-24,5,POULTRY,153.0,0
2013-01-25,5,POULTRY,149.0,0
2013-01-26,5,POULTRY,197.0,0
2013-01-27,5,POULTRY,213.0,0
2013-01-28,5,POULTRY,151.0,0
2013-01-29,5,POULTRY,149.0,0
2013-01-30,5,POULTRY,129.0,0
2013-01-31,5,POULTRY,170.0,0
2013-02-01,5,POULTRY,186.0,0
2013-02-02,5,POULTRY,258.0,0
2013-02-03,5,POULTRY,242.0,0
2013-02-04,5,POULTRY,181.0,0
2013-02-05,5,POULTRY,181.0,0
2013-02-06,5,POULTRY,179.0,0
2013-02-07,5,POULTRY,150.0,0
2013-02-08,5,POULTRY,189.0,0
2013-02-09,5,POULTRY,202.0,0
2013-02-10,5,POULTRY,191.0,0
2013-02-11,5,POULTRY,155.0,0
2013-02-12,5,POULTRY,154.0,0
2013-02-13,5,POULTRY,199.0,0
2013-02-14,5,POULTRY,210.0,0
2013-02-15,5,POULTRY,132.0,0
2013-02-16,5,POULTRY,252.0,0
2013-02-17,5,POULTRY,158.0,0
2013-02-18,5,POULTRY,196.0,0
2013-02-19,5,POULTRY,130.0,0
2013-02-20,5,POULTRY,155.0,0
2013-02-21,5,POULTRY,149.0,0
2013-02-22,5,POULTRY,162.0,0
2013-02-23,5,POULTRY,236.0,0
2013-02-24,5,POULTRY,246.0,0
2013-02-25,5,POULTRY,149.0,0
2013-02-26,5,POULTRY,194.0,0
2013-02-27,5,POULTRY,160.0,0
2013-02-28,5,POULTRY,123.0,0
2013-03-01,5,POULTRY,199.0,0
2013-03-02,5,POULTRY,207.0,0
2013-03-03,5,POULTRY,256.0,0
2013-03-04,5,POULTRY,219.0,0
2013-03-05,5,POULTRY,222.0,0
2013-03-06,5,POULTRY,175.0,0
2013-03-07,5,POULTRY,135.0,0
2013-03-08,5,POULTRY,133.0,0
2013-03-09,5,POULTRY,250.0,0
2013-03-10,5,POULTRY,247.0,0
2013-03-11,5,POULTRY,169.0,0
2013-03-12,5,POULTRY,149.0,0
2013-03-13,5,POULTRY,148.0,0
2013-03-14,5,POULTRY,120.0,0
2013-03-15,5,POULTRY,189.0,0
2013-03-16,5,POULTRY,182.0,0
2013-03-17,5,POULTRY,199.0,0
2013-03-18,5,POULTRY,212.0,0
2013-03-19,5,POULTRY,138.0,0
2013-03-20,5,POULTRY,180.0,0
2013-03-21,5,POULTRY,144.0,0
2013-03-22,5,POULTRY,113.0,0
2013-03-23,5,POULTRY,192.0,0
2013-03-24,5,POULTRY,190.0,0
2013-03-25,5,POULTRY,188.0,0
2013-03-26,5,POULTRY,98.0,0
2013-03-27,5,POULTRY,186.0,0
2013-03-28,5,POULTRY,145.0,0
2013-03-29,5,POULTRY,148.0,0
2013-03-30,5,POULTRY,170.0,0
2013-03-31,5,POULTRY,211.0,0
2013-04-01,5,POULTRY,253.0,0
2013-04-02,5,POULTRY,212.0,0
2013-04-03,5,POULTRY,160.0,0
2013-04-04,5,POULTRY,143.0,0
2013-04-05,5,POULTRY,164.0,0
2013-04-06,5,POULTRY,207.0,0
2013-04-07,5,POULTRY,250.0,0
2013-04-08,5,POULTRY,229.0,0
2013-04-09,5,POULTRY,131.0,0
2013-04-10,5,POULTRY,150.0,0
2013-04-11,5,POULTRY,151.0,0
2013-04-12,5,POULTRY,142.0,0
2013-04-13,5,POULTRY,175.0,0
2013-04-14,5,POULTRY,182.0,0
2013-04-15,5,POULTRY,197.0,0
2013-04-16,5,POULTRY,159.0,0
2013-04-17,5,POULTRY,154.0,0
2013-04-18,5,POULTRY,103.0,0
2013-04-19,5,POULTRY,164.0,0
2013-04-20,5,POULTRY,205.0,0
2013-04-21,5,POULTRY,263.0,0
2013-04-22,5,POULTRY,170.0,0
2013-04-23,5,POULTRY,123.0,0
2013-04-24,5,POULTRY,145.0,0
2013-04-25,5,POULTRY,135.0,0
2013-04-26,5,POULTRY,193.0,0
2013-04-27,5,POULTRY,173.0,0
2013-04-28,5,POULTRY,219.0,0
2013-04-29,5,POULTRY,224.0,0
2013-04-30,5,POULTRY,150.0,0
2013-05-01,5,POULTRY,185.0,0
2013-05-02,5,POULTRY,219.0,0
2013-05-03,5,POULTRY,206.0,0
2013-05-04,5,POULTRY,206.0,0
2013-05-05,5,POULTRY,317.0,0
2013-05-06,5,POULTRY,142.0,0
2013-05-07,5,POULTRY,153.0,0
2013-05-08,5,POULTRY,181.0,0
2013-05-09,5,POULTRY,128.0,0
2013-05-10,5,POULTRY,159.0,0
2013-05-11,5,POULTRY,221.0,0
2013-05-12,5,POULTRY,211.0,0
2013-05-13,5,POULTRY,144.0,0
2013-05-14,5,POULTRY,126.0,0
2013-05-15,5,POULTRY,129.0,0
2013-05-16,5,POULTRY,135.0,0
2013-05-17,5,POULTRY,176.0,0
2013-05-18,5,POULTRY,208.0,0
2013-05-19,5,POULTRY,259.0,0
2013-05-20,5,POULTRY,155.0,0
2013-05-21,5,POULTRY,108.0,0
2013-05-22,5,POULTRY,150.0,0
2013-05-23,5,POULTRY,250.0,0
2013-05-24,5,POULTRY,163.0,0
2013-05-25,5,POULTRY,187.0,0
2013-05-26,5,POULTRY,239.0,0
2013-05-27,5,POULTRY,143.0,0
2013-05-28,5,POULTRY,128.0,0
2013-05-29,5,POULTRY,177.0,0
2013-05-30,5,POULTRY,159.0,0
2013-05-31,5,POULTRY,183.0,0
2013-06-01,5,POULTRY,289.0,0
2013-06-02,5,POULTRY,322.0,0
2013-06-03,5,POULTRY,187.0,0
2013-06-04,5,POULTRY,117.0,0
2013-06-05,5,POULTRY,205.0,0
2013-06-06,5,POULTRY,157.0,0
2013-06-07,5,POULTRY,155.0,0
2013-06-08,5,POULTRY,191.0,0
2013-06-09,5,POULTRY,311.0,0
2013-06-10,5,POULTRY,262.0,0
2013-06-11,5,POULTRY,130.0,0
2013-06-12,5,POULTRY,146.0,0
2013-06-13,5,POULTRY,123.0,0
2013-06-14,5,POULTRY,179.0,0
2013-06-15,5,POULTRY,220.0,0
2013-06-16,5,POULTRY,225.0,0
2013-06-17,5,POULTRY,140.0,0
2013-06-18,5,POULTRY,153.0,0
2013-06-19,5,POULTRY,113.0,0
2013-06-20,5,POULTRY,119.0,0
2013-06-21,5,POULTRY,173.0,0
2013-06-22,5,POULTRY,186.0,0
2013-06-23,5,POULTRY,236.0,0
2013-06-24,5,POULTRY,205.0,0
2013-06-25,5,POULTRY,148.0,0
2013-06-26,5,POULTRY,150.0,0
2013-06-27,5,POULTRY,123.0,0
2013-06-28,5,POULTRY,143.0,0
2013-06-29,5,POULTRY,219.0,0
2013-06-30,5,POULTRY,242.0,0
2013-07-01,5,POULTRY,203.0,0
2013-07-02,5,POULTRY,131.0,0
2013-07-03,5,POULTRY,85.0,0
2013-07-04,5,POULTRY,219.0,0
2013-07-05,5,POULTRY,200.0,0
2013-07-06,5,POULTRY,212.0,0
2013-07-07,5,POULTRY,238.0,0
2013-07-08,5,POULTRY,166.0,0
2013-07-09,5,POULTRY,157.0,0
2013-07-10,5,POULTRY,148.0,0
2013-07-11,5,POULTRY,176.0,0
2013-07-12,5,POULTRY,140.0,0
2013-07-13,5,POULTRY,143.0,0
2013-07-14,5,POULTRY,226.0,0
2013-07-15,5,POULTRY,158.0,0
2013-07-16,5,POULTRY,140.0,0
2013-07-17,5,POULTRY,128.0,0
2013-07-18,5,POULTRY,153.0,0
2013-07-19,5,POULTRY,165.0,0
2013-07-20,5,POULTRY,158.0,0
2013-07-21,5,POULTRY,220.0,0
2013-07-22,5,POULTRY,180.0,0
2013-07-23,5,POULTRY,154.0,0
2013-07-24,5,POULTRY,185.0,0
2013-07-25,5,POULTRY,137.0,0
2013-07-26,5,POULTRY,183.0,0
2013-07-27,5,POULTRY,184.0,0
2013-07-28,5,POULTRY,230.0,0
2013-07-29,5,POULTRY,135.0,0
2013-07-30,5,POULTRY,175.0,0
2013-07-31,5,POULTRY,169.0,0
2013-08-01,5,POULTRY,170.0,0
2013-08-02,5,POULTRY,186.0,0
2013-08-03,5,POULTRY,253.0,0
2013-08-04,5,POULTRY,253.0,0
2013-08-05,5,POULTRY,214.0,0
2013-08-06,5,POULTRY,169.0,0
2013-08-07,5,POULTRY,112.0,0
2013-08-08,5,POULTRY,145.0,0
2013-08-09,5,POULTRY,187.0,0
2013-08-10,5,POULTRY,166.0,0
2013-08-11,5,POULTRY,242.0,0
2013-08-12,5,POULTRY,204.0,0
2013-08-13,5,POULTRY,133.0,0
2013-08-14,5,POULTRY,147.0,0
2013-08-15,5,POULTRY,180.0,0
2013-08-16,5,POULTRY,186.0,0
2013-08-17,5,POULTRY,205.0,0
2013-08-18,5,POULTRY,251.0,0
2013-08-19,5,POULTRY,167.0,0
2013-08-20,5,POULTRY,126.0,0
2013-08-21,5,POULTRY,144.0,0
2013-08-22,5,POULTRY,137.0,0
2013-08-23,5,POULTRY,165.0,0
2013-08-24,5,POULTRY,233.0,0
2013-08-25,5,POULTRY,196.0,0
2013-08-26,5,POULTRY,176.0,0
2013-08-27,5,POULTRY,172.0,0
2013-08-28,5,POULTRY,148.0,0
2013-08-29,5,POULTRY,124.0,0
2013-08-30,5,POULTRY,168.0,0
2013-08-31,5,POULTRY,228.0,0
2013-09-01,5,POULTRY,325.0,0
2013-09-02,5,POULTRY,215.0,0
2013-09-03,5,POULTRY,174.0,0
2013-09-04,5,POULTRY,149.0,0
2013-09-05,5,POULTRY,125.0,0
2013-09-06,5,POULTRY,139.0,0
2013-09-07,5,POULTRY,228.0,0
2013-09-08,5,POULTRY,209.0,0
2013-09-09,5,POULTRY,127.0,0
2013-09-10,5,POULTRY,131.0,0
2013-09-11,5,POULTRY,125.0,0
2013-09-12,5,POULTRY,157.0,0
2013-09-13,5,POULTRY,158.0,0
2013-09-14,5,POULTRY,150.0,0
2013-09-15,5,POULTRY,283.0,0
2013-09-16,5,POULTRY,160.0,0
2013-09-17,5,POULTRY,111.0,0
2013-09-18,5,POULTRY,168.0,0
2013-09-19,5,POULTRY,102.0,0
2013-09-20,5,POULTRY,155.0,0
2013-09-21,5,POULTRY,196.0,0
2013-09-22,5,POULTRY,266.0,0
2013-09-23,5,POULTRY,160.0,0
2013-09-24,5,POULTRY,165.0,0
2013-09-25,5,POULTRY,133.0,0
2013-09-26,5,POULTRY,94.0,0
2013-09-27,5,POULTRY,167.0,0
2013-09-28,5,POULTRY,200.0,0
2013-09-29,5,POULTRY,231.0,0
2013-09-30,5,POULTRY,170.0,0
2013-10-01,5,POULTRY,201.0,0
2013-10-02,5,POULTRY,167.0,0
2013-10-03,5,POULTRY,100.0,0
2013-10-04,5,POULTRY,174.0,0
2013-10-05,5,POULTRY,167.0,0
2013-10-06,5,POULTRY,184.0,0
2013-10-07,5,POULTRY,140.0,0
2013-10-08,5,POULTRY,123.0,0
2013-10-09,5,POULTRY,113.0,0
2013-10-10,5,POULTRY,144.0,0
2013-10-11,5,POULTRY,124.0,0
2013-10-12,5,POULTRY,175.0,0
2013-10-13,5,POULTRY,211.0,0
2013-10-14,5,POULTRY,182.0,0
2013-10-15,5,POULTRY,104.0,0
2013-10-16,5,POULTRY,189.0,0
2013-10-17,5,POULTRY,161.0,0
2013-10-18,5,POULTRY,152.0,0
2013-10-19,5,POULTRY,171.0,0
2013-10-20,5,POULTRY,269.0,0
2013-10-21,5,POULTRY,116.0,0
2013-10-22,5,POULTRY,139.0,0
2013-10-23,5,POULTRY,119.0,0
2013-10-24,5,POULTRY,172.0,0
2013-10-25,5,POULTRY,150.0,0
2013-10-26,5,POULTRY,190.0,0
2013-10-27,5,POULTRY,200.0,0
2013-10-28,5,POULTRY,161.0,0
2013-10-29,5,POULTRY,123.0,0
2013-10-30,5,POULTRY,111.0,0
2013-10-31,5,POULTRY,125.0,0
2013-11-01,5,POULTRY,185.0,0
2013-11-02,5,POULTRY,237.0,0
2013-11-03,5,POULTRY,298.0,0
2013-11-04,5,POULTRY,113.0,0
2013-11-05,5,POULTRY,239.0,0
2013-11-06,5,POULTRY,263.0,0
2013-11-07,5,POULTRY,317.0,0
2013-11-08,5,POULTRY,271.0,0
2013-11-09,5,POULTRY,374.0,0
2013-11-10,5,POULTRY,359.0,0
2013-11-11,5,POULTRY,234.0,0
2013-11-12,5,POULTRY,221.0,0
2013-11-13,5,POULTRY,345.0,0
2013-11-14,5,POULTRY,183.0,0
2013-11-15,5,POULTRY,270.0,0
2013-11-16,5,POULTRY,325.0,0
2013-11-17,5,POULTRY,416.0,0
2013-11-18,5,POULTRY,241.0,0
2013-11-19,5,POULTRY,227.0,0
2013-11-20,5,POULTRY,284.0,0
2013-11-21,5,POULTRY,237.0,0
2013-11-22,5,POULTRY,383.0,0
2013-11-23,5,POULTRY,375.0,0
2013-11-24,5,POULTRY,339.0,0
2013-11-25,5,POULTRY,226.0,0
2013-11-26,5,POULTRY,257.0,0
2013-11-27,5,POULTRY,215.0,0
2013-11-28,5,POULTRY,168.0,0
2013-11-29,5,POULTRY,290.0,0
2013-11-30,5,POULTRY,285.0,0
2013-12-01,5,POULTRY,468.0,0
2013-12-02,5,POULTRY,250.0,0
2013-12-03,5,POULTRY,224.0,0
2013-12-04,5,POULTRY,288.0,0
2013-12-05,5,POULTRY,257.0,0
2013-12-06,5,POULTRY,472.0,0
2013-12-07,5,POULTRY,363.0,0
2013-12-08,5,POULTRY,354.0,0
2013-12-09,5,POULTRY,259.0,0
2013-12-10,5,POULTRY,239.0,0
2013-12-11,5,POULTRY,200.0,0
2013-12-12,5,POULTRY,255.0,0
2013-12-13,5,POULTRY,275.0,0
2013-12-14,5,POULTRY,277.0,0
2013-12-15,5,POULTRY,271.0,0
2013-12-16,5,POULTRY,301.0,0
2013-12-17,5,POULTRY,633.0,0
2013-12-18,5,POULTRY,380.0,0
2013-12-19,5,POULTRY,331.0,0
2013-12-20,5,POULTRY,464.0,0
2013-12-21,5,POULTRY,497.0,0
2013-12-22,5,POULTRY,572.0,0
2013-12-23,5,POULTRY,582.0,0
2013-12-24,5,POULTRY,692.0,0
2013-12-26,5,POULTRY,361.0,0
2013-12-27,5,POULTRY,505.0,0
2013-12-28,5,POULTRY,350.0,0
2013-12-29,5,POULTRY,379.0,0
2013-12-30,5,POULTRY,470.0,0
2013-12-31,5,POULTRY,379.0,0
2014-01-01,5,POULTRY,0.0,0
2014-01-02,5,POULTRY,319.0,0
2014-01-03,5,POULTRY,339.0,0
2014-01-04,5,POULTRY,346.0,0
2014-01-05,5,POULTRY,325.0,0
2014-01-06,5,POULTRY,148.0,0
2014-01-07,5,POULTRY,256.0,0
2014-01-08,5,POULTRY,271.0,0
2014-01-09,5,POULTRY,206.0,0
2014-01-10,5,POULTRY,286.0,0
2014-01-11,5,POULTRY,333.0,0
2014-01-12,5,POULTRY,397.0,0
2014-01-13,5,POULTRY,225.0,0
2014-01-14,5,POULTRY,222.0,0
2014-01-15,5,POULTRY,249.0,0
2014-01-16,5,POULTRY,292.0,0
2014-01-17,5,POULTRY,316.0,0
2014-01-18,5,POULTRY,397.0,0
2014-01-19,5,POULTRY,386.0,0
2014-01-20,5,POULTRY,279.0,0
2014-01-21,5,POULTRY,258.0,0
2014-01-22,5,POULTRY,312.0,0
2014-01-23,5,POULTRY,259.0,0
2014-01-24,5,POULTRY,341.0,0
2014-01-25,5,POULTRY,338.0,0
2014-01-26,5,POULTRY,353.0,0
2014-01-27,5,POULTRY,231.0,0
2014-01-28,5,POULTRY,228.0,0
2014-01-29,5,POULTRY,251.0,0
2014-01-30,5,POULTRY,236.0,0
2014-01-31,5,POULTRY,354.0,0
2014-02-01,5,POULTRY,486.0,0
2014-02-02,5,POULTRY,448.0,0
2014-02-03,5,POULTRY,320.0,0
2014-02-04,5,POULTRY,308.0,0
2014-02-05,5,POULTRY,284.0,0
2014-02-06,5,POULTRY,280.0,0
2014-02-07,5,POULTRY,355.0,0
2014-02-08,5,POULTRY,407.0,0
2014-02-09,5,POULTRY,358.0,0
2014-02-10,5,POULTRY,279.0,0
2014-02-11,5,POULTRY,273.0,0
2014-02-12,5,POULTRY,218.0,0
2014-02-13,5,POULTRY,224.0,0
2014-02-14,5,POULTRY,311.0,0
2014-02-15,5,POULTRY,278.0,0
2014-02-16,5,POULTRY,392.0,0
2014-02-17,5,POULTRY,332.0,0
2014-02-18,5,POULTRY,270.0,0
2014-02-19,5,POULTRY,265.0,0
2014-02-20,5,POULTRY,213.0,0
2014-02-21,5,POULTRY,324.0,0
2014-02-22,5,POULTRY,433.0,0
2014-02-23,5,POULTRY,292.0,0
2014-02-24,5,POULTRY,292.0,0
2014-02-25,5,POULTRY,277.0,0
2014-02-26,5,POULTRY,263.0,0
2014-02-27,5,POULTRY,254.0,0
2014-02-28,5,POULTRY,328.0,0
2014-03-01,5,POULTRY,468.0,0
2014-03-02,5,POULTRY,272.0,0
2014-03-03,5,POULTRY,235.0,0
2014-03-04,5,POULTRY,282.0,0
2014-03-05,5,POULTRY,361.0,0
2014-03-06,5,POULTRY,275.0,0
2014-03-07,5,POULTRY,313.0,0
2014-03-08,5,POULTRY,351.0,0
2014-03-09,5,POULTRY,313.0,0
2014-03-10,5,POULTRY,270.0,0
2014-03-11,5,POULTRY,201.0,0
2014-03-12,5,POULTRY,285.0,0
2014-03-13,5,POULTRY,232.0,0
2014-03-14,5,POULTRY,326.0,0
2014-03-15,5,POULTRY,292.0,0
2014-03-16,5,POULTRY,352.0,0
2014-03-17,5,POULTRY,243.0,0
2014-03-18,5,POULTRY,288.0,0
2014-03-19,5,POULTRY,222.0,0
2014-03-20,5,POULTRY,250.0,0
2014-03-21,5,POULTRY,285.0,0
2014-03-22,5,POULTRY,285.0,0
2014-03-23,5,POULTRY,276.0,0
2014-03-24,5,POULTRY,269.0,0
2014-03-25,5,POULTRY,291.0,0
2014-03-26,5,POULTRY,259.0,0
2014-03-27,5,POULTRY,238.0,0
2014-03-28,5,POULTRY,271.0,0
2014-03-29,5,POULTRY,317.0,0
2014-03-30,5,POULTRY,372.0,0
2014-03-31,5,POULTRY,306.0,0
2014-04-01,5,POULTRY,283.0,0
2014-04-02,5,POULTRY,307.0,0
2014-04-03,5,POULTRY,270.0,0
2014-04-04,5,POULTRY,277.0,0
2014-04-05,5,POULTRY,305.0,0
2014-04-06,5,POULTRY,358.0,0
2014-04-07,5,POULTRY,268.0,0
2014-04-08,5,POULTRY,209.0,0
2014-04-09,5,POULTRY,229.0,0
2014-04-10,5,POULTRY,213.0,0
2014-04-11,5,POULTRY,280.0,0
2014-04-12,5,POULTRY,262.0,0
2014-04-13,5,POULTRY,314.0,0
2014-04-14,5,POULTRY,206.0,0
2014-04-15,5,POULTRY,229.0,0
2014-04-16,5,POULTRY,233.0,0
2014-04-17,5,POULTRY,302.0,0
2014-04-18,5,POULTRY,244.0,0
2014-04-19,5,POULTRY,353.0,0
2014-04-20,5,POULTRY,296.0,0
2014-04-21,5,POULTRY,235.0,0
2014-04-22,5,POULTRY,253.0,0
2014-04-23,5,POULTRY,282.0,0
2014-04-24,5,POULTRY,208.0,0
2014-04-25,5,POULTRY,326.0,0
2014-04-26,5,POULTRY,318.0,0
2014-04-27,5,POULTRY,306.0,0
2014-04-28,5,POULTRY,244.0,0
2014-04-29,5,POULTRY,215.0,0
2014-04-30,5,POULTRY,305.0,0
2014-05-01,5,POULTRY,354.0,0
