date,store_nbr,family,sales,onpromotion
2013-01-01,6,GROCERY I,0.0,0
2013-01-02,6,GROCERY I,5535.0,0
2013-01-03,6,GROCERY I,4040.0,0
2013-01-04,6,GROCERY I,3314.0,0
2013-01-05,6,GROCERY I,4857.0,0
2013-01-06,6,GROCERY I,6659.0,0
2013-01-07,6,GROCERY I,3363.0,0
2013-01-08,6,GROCERY I,3164.0,0
2013-01-09,6,GROCERY I,3319.0,0
2013-01-10,6,GROCERY I,2245.0,0
2013-01-11,6,GROCERY I,2623.0,0
2013-01-12,6,GROCERY I,3777.0,0
2013-01-13,6,GROCERY I,5691.0,0
2013-01-14,6,GROCERY I,2937.0,0
2013-01-15,6,GROCERY I,2804.0,0
2013-01-16,6,GROCERY I,3784.0,0
2013-01-17,6,GROCERY I,2572.0,0
2013-01-18,6,GROCERY I,2544.0,0
2013-01-19,6,GROCERY I,4722.0,0
2013-01-20,6,GROCERY I,5429.0,0
2013-01-21,6,GROCERY I,3115.0,0
2013-01-22,6,GROCERY I,2884.0,0
2013-01-23,6,GROCERY I,3656.0,0
2013-01-24,6,GROCERY I,2366.0,0
2013-01-25,6,GROCERY I,2336.0,0
2013-01-26,6,GROCERY I,4269.0,0
2013-01-27,6,GROCERY I,5151.0,0
2013-01-28,6,GROCERY I,2926.0,0
2013-01-29,6,GROCERY I,2548.0,0
2013-01-30,6,GROCERY I,2867.0,0
2013-01-31,6,GROCERY I,2741.0,0
2013-02-01,6,GROCERY I,3731.0,0
2013-02-02,6,GROCERY I,5617.0,0
2013-02-03,6,GROCERY I,5648.0,0
2013-02-04,6,GROCERY I,3284.0,0
2013-02-05,6,GROCERY I,3158.0,0
2013-02-06,6,GROCERY I,3420.0,0
2013-02-07,6,GROCERY I,2534.0,0
2013-02-08,6,GROCERY I,2726.0,0
2013-02-09,6,GROCERY I,3216.0,0
2013-02-10,6,GROCERY I,2626.0,0
2013-02-11,6,GROCERY I,2702.0,0
2013-02-12,6,GROCERY I,3362.0,0
2013-02-13,6,GROCERY I,3171.0,0
2013-02-14,6,GROCERY I,2876.0,0
2013-02-15,6,GROCERY I,3123.0,0
2013-02-16,6,GROCERY I,5308.0,0
2013-02-17,6,GROCERY I,5267.0,0
2013-02-18,6,GROCERY I,3619.0,0
2013-02-19,6,GROCERY I,2843.0,0
2013-02-20,6,GROCERY I,3199.0,0
2013-02-21,6,GROCERY I,2433.0,0
2013-02-22,6,GROCERY I,2692.0,0
2013-02-23,6,GROCERY I,4032.0,0
2013-02-24,6,GROCERY I,5675.0,0
2013-02-25,6,GROCERY I,3284.0,0
2013-02-26,6,GROCERY I,2403.0,0
2013-02-27,6,GROCERY I,3137.0,0
2013-02-28,6,GROCERY I,2469.0,0
2013-03-01,6,GROCERY I,3221.0,0
2013-03-02,6,GROCERY I,6183.0,0
2013-03-03,6,GROCERY I,6968.0,0
2013-03-04,6,GROCERY I,4356.0,0
2013-03-05,6,GROCERY I,3315.0,0
2013-03-06,6,GROCERY I,3479.0,0
2013-03-07,6,GROCERY I,2746.0,0
2013-03-08,6,GROCERY I,2957.0,0
2013-03-09,6,GROCERY I,4631.0,0
2013-03-10,6,GROCERY I,5547.0,0
2013-03-11,6,GROCERY I,3232.0,0
2013-03-12,6,GROCERY I,2458.0,0
2013-03-13,6,GROCERY I,3009.0,0
2013-03-14,6,GROCERY I,2408.0,0
2013-03-15,6,GROCERY I,3101.0,0
2013-03-16,6,GROCERY I,4820.0,0
2013-03-17,6,GROCERY I,6053.0,0
2013-03-18,6,GROCERY I,3156.0,0
2013-03-19,6,GROCERY I,3191.0,0
2013-03-20,6,GROCERY I,3219.0,0
2013-03-21,6,GROCERY I,2589.0,0
2013-03-22,6,GROCERY I,3082.0,0
2013-03-23,6,GROCERY I,4835.0,0
2013-03-24,6,GROCERY I,5581.0,0
2013-03-25,6,GROCERY I,3173.0,0
2013-03-26,6,GROCERY I,2510.0,0
2013-03-27,6,GROCERY I,3085.0,0
2013-03-28,6,GROCERY I,3223.0,0
2013-03-29,6,GROCERY I,3501.0,0
2013-03-30,6,GROCERY I,4357.0,0
2013-03-31,6,GROCERY I,6143.0,0
2013-04-01,6,GROCERY I,4861.0,0
2013-04-02,6,GROCERY I,3833.0,0
2013-04-03,6,GROCERY I,4222.0,0
2013-04-04,6,GROCERY I,2918.0,0
2013-04-05,6,GROCERY I,3106.0,0
2013-04-06,6,GROCERY I,5426.0,0
2013-04-07,6,GROCERY I,6315.0,0
2013-04-08,6,GROCERY I,3496.0,0
2013-04-09,6,GROCERY I,2853.0,0
2013-04-10,6,GROCERY I,3038.0,0
2013-04-11,6,GROCERY I,2413.0,0
2013-04-12,6,GROCERY I,2880.0,0
2013-04-13,6,GROCERY I,4681.0,0
2013-04-14,6,GROCERY I,5708.0,0
2013-04-15,6,GROCERY I,3503.0,0
2013-04-16,6,GROCERY I,3106.0,0
2013-04-17,6,GROCERY I,3668.0,0
2013-04-18,6,GROCERY I,2552.0,0
2013-04-19,6,GROCERY I,2956.0,0
2013-04-20,6,GROCERY I,4534.0,0
2013-04-21,6,GROCERY I,6154.0,0
2013-04-22,6,GROCERY I,3449.0,0
2013-04-23,6,GROCERY I,2993.0,0
2013-04-24,6,GROCERY I,3259.0,0
2013-04-25,6,GROCERY I,2513.0,0
2013-04-26,6,GROCERY I,2898.0,0
2013-04-27,6,GROCERY I,4550.0,0
2013-04-28,6,GROCERY I,5738.0,0
2013-04-29,6,GROCERY I,3240.0,0
2013-04-30,6,GROCERY I,2791.0,0
2013-05-01,6,GROCERY I,5407.0,0
2013-05-02,6,GROCERY I,3529.0,0
2013-05-03,6,GROCERY I,3627.0,0
2013-05-04,6,GROCERY I,5555.0,0
2013-05-05,6,GROCERY I,7172.0,0
2013-05-06,6,GROCERY I,4083.0,0
2013-05-07,6,GROCERY I,3103.0,0
2013-05-08,6,GROCERY I,3601.0,0
2013-05-09,6,GROCERY I,2663.0,0
2013-05-10,6,GROCERY I,3115.0,0
2013-05-11,6,GROCERY I,5262.0,0
2013-05-12,6,GROCERY I,4326.0,0
2013-05-13,6,GROCERY I,3773.0,0
2013-05-14,6,GROCERY I,2858.0,0
2013-05-15,6,GROCERY I,3266.0,0
2013-05-16,6,GROCERY I,3086.0,0
2013-05-17,6,GROCERY I,2995.0,0
2013-05-18,6,GROCERY I,4711.0,0
2013-05-19,6,GROCERY I,5582.0,0
2013-05-20,6,GROCERY I,3754.0,0
2013-05-21,6,GROCERY I,2770.0,0
2013-05-22,6,GROCERY I,2740.0,0
2013-05-23,6,GROCERY I,2536.0,0
2013-05-24,6,GROCERY I,3917.0,0
2013-05-25,6,GROCERY I,3991.0,0
2013-05-26,6,GROCERY I,4846.0,0
2013-05-27,6,GROCERY I,3083.0,0
2013-05-28,6,GROCERY I,3151.0,0
2013-05-29,6,GROCERY I,2982.0,0
2013-05-30,6,GROCERY I,3051.0,0
2013-05-31,6,GROCERY I,3040.0,0
2013-06-01,6,GROCERY I,5593.0,0
2013-06-02,6,GROCERY I,7242.0,0
2013-06-03,6,GROCERY I,4760.0,0
2013-06-04,6,GROCERY I,3570.0,0
2013-06-05,6,GROCERY I,4093.0,0
2013-06-06,6,GROCERY I,3297.0,0
2013-06-07,6,GROCERY I,3612.0,0
2013-06-08,6,GROCERY I,4526.0,0
2013-06-09,6,GROCERY I,6171.0,0
2013-06-10,6,GROCERY I,3396.0,0
2013-06-11,6,GROCERY I,2730.0,0
2013-06-12,6,GROCERY I,3187.0,0
2013-06-13,6,GROCERY I,2630.0,0
2013-06-14,6,GROCERY I,3219.0,0
2013-06-15,6,GROCERY I,4774.0,0
2013-06-16,6,GROCERY I,4865.0,0
2013-06-17,6,GROCERY I,3689.0,0
2013-06-18,6,GROCERY I,3119.0,0
2013-06-19,6,GROCERY I,3201.0,0
2013-06-20,6,GROCERY I,2924.0,0
2013-06-21,6,GROCERY I,3235.0,0
2013-06-22,6,GROCERY I,4172.0,0
2013-06-23,6,GROCERY I,5984.0,0
2013-06-24,6,GROCERY I,3420.0,0
2013-06-25,6,GROCERY I,3174.0,0
2013-06-26,6,GROCERY I,3042.0,0
2013-06-27,6,GROCERY I,2289.0,0
2013-06-28,6,GROCERY I,2971.0,0
2013-06-29,6,GROCERY I,5152.0,0
