date,store_nbr,family,sales,onpromotion
2013-01-01,7,BREAD/BAKERY,0.0,0
2013-01-02,7,BREAD/BAKERY,693.0,0
2013-01-03,7,BREAD/BAKERY,504.0,0
2013-01-04,7,BREAD/BAKERY,378.0,0
2013-01-05,7,BREAD/BAKERY,451.0,0
2013-01-06,7,BREAD/BAKERY,506.0,0
2013-01-07,7,BREAD/BAKERY,537.0,0
2013-01-08,7,BREAD/BAKERY,446.0,0
2013-01-09,7,BREAD/BAKERY,378.0,0
2013-01-10,7,BREAD/BAKERY,332.0,0
2013-01-11,7,BREAD/BAKERY,338.0,0
2013-01-12,7,BREAD/BAKERY,368.0,0
2013-01-13,7,BREAD/BAKERY,460.0,0
2013-01-14,7,BREAD/BAKERY,428.0,0
2013-01-15,7,BREAD/BAKERY,462.0,0
2013-01-16,7,BREAD/BAKERY,447.0,0
2013-01-17,7,BREAD/BAKERY,382.0,0
2013-01-18,7,BREAD/BAKERY,432.0,0
2013-01-19,7,BREAD/BAKERY,457.0,0
2013-01-20,7,BREAD/BAKERY,462.0,0
2013-01-21,7,BREAD/BAKERY,499.0,0
2013-01-22,7,BREAD/BAKERY,426.0,0
2013-01-23,7,BREAD/BAKERY,445.0,0
2013-01-24,7,BREAD/BAKERY,398.0,0
2013-01-25,7,BREAD/BAKERY,416.0,0
2013-01-26,7,BREAD/BAKERY,482.0,0
2013-01-27,7,BREAD/BAKERY,465.0,0
2013-01-28,7,BREAD/BAKERY,451.0,0
2013-01-29,7,BREAD/BAKERY,397.0,0
2013-01-30,7,BREAD/BAKERY,469.0,0
2013-01-31,7,BREAD/BAKERY,386.0,0
2013-02-01,7,BREAD/BAKERY,439.0,0
2013-02-02,7,BREAD/BAKERY,425.0,0
2013-02-03,7,BREAD/BAKERY,424.0,0
2013-02-04,7,BREAD/BAKERY,480.0,0
2013-02-05,7,BREAD/BAKERY,368.0,0
2013-02-06,7,BREAD/BAKERY,455.0,0
2013-02-07,7,BREAD/BAKERY,333.0,0
2013-02-08,7,BREAD/BAKERY,429.0,0
2013-02-09,7,BREAD/BAKERY,415.0,0
2013-02-10,7,BREAD/BAKERY,298.0,0
2013-02-11,7,BREAD/BAKERY,337.0,0
2013-02-12,7,BREAD/BAKERY,350.0,0
2013-02-13,7,BREAD/BAKERY,493.0,0
2013-02-14,7,BREAD/BAKERY,385.0,0
2013-02-15,7,BREAD/BAKERY,506.0,0
2013-02-16,7,BREAD/BAKERY,538.0,0
2013-02-17,7,BREAD/BAKERY,438.0,0
2013-02-18,7,BREAD/BAKERY,638.0,0
2013-02-19,7,BREAD/BAKERY,466.0,0
2013-02-20,7,BREAD/BAKERY,500.0,0
2013-02-21,7,BREAD/BAKERY,429.0,0
2013-02-22,7,BREAD/BAKERY,487.0,0
2013-02-23,7,BREAD/BAKERY,438.0,0
2013-02-24,7,BREAD/BAKERY,481.0,0
2013-02-25,7,BREAD/BAKERY,480.0,0
2013-02-26,7,BREAD/BAKERY,435.0,0
2013-02-27,7,BREAD/BAKERY,503.0,0
2013-02-28,7,BREAD/BAKERY,416.0,0
2013-03-01,7,BREAD/BAKERY,429.0,0
2013-03-02,7,BREAD/BAKERY,614.0,0
2013-03-03,7,BREAD/BAKERY,510.0,0
2013-03-04,7,BREAD/BAKERY,563.0,0
2013-03-05,7,BREAD/BAKERY,489.0,0
