date,store_nbr,family,sales,onpromotion
2013-01-01,7,PREPARED FOODS,0.0,0
2013-01-02,7,PREPARED FOODS,168.0,0
2013-01-03,7,PREPARED FOODS,116.0,0
2013-01-04,7,PREPARED FOODS,129.0,0
2013-01-05,7,PREPARED FOODS,139.0,0
2013-01-06,7,PREPARED FOODS,150.0,0
2013-01-07,7,PREPARED FOODS,169.0,0
2013-01-08,7,PREPARED FOODS,124.0,0
2013-01-09,7,PREPARED FOODS,136.0,0
2013-01-10,7,PREPARED FOODS,144.0,0
2013-01-11,7,PREPARED FOODS,103.0,0
2013-01-12,7,PREPARED FOODS,131.0,0
2013-01-13,7,PREPARED FOODS,112.0,0
2013-01-14,7,PREPARED FOODS,129.0,0
2013-01-15,7,PREPARED FOODS,116.0,0
2013-01-16,7,PREPARED FOODS,126.0,0
2013-01-17,7,PREPARED FOODS,128.0,0
2013-01-18,7,PREPARED FOODS,137.0,0
2013-01-19,7,PREPARED FOODS,122.0,0
2013-01-20,7,PREPARED FOODS,128.0,0
2013-01-21,7,PREPARED FOODS,95.0,0
2013-01-22,7,PREPARED FOODS,81.0,0
2013-01-23,7,PREPARED FOODS,150.0,0
2013-01-24,7,PREPARED FOODS,112.0,0
2013-01-25,7,PREPARED FOODS,119.0,0
2013-01-26,7,PREPARED FOODS,113.0,0
2013-01-27,7,PREPARED FOODS,126.0,0
2013-01-28,7,PREPARED FOODS,161.0,0
2013-01-29,7,PREPARED FOODS,103.0,0
2013-01-30,7,PREPARED FOODS,118.0,0
2013-01-31,7,PREPARED FOODS,125.0,0
2013-02-01,7,PREPARED FOODS,172.0,0
2013-02-02,7,PREPARED FOODS,168.0,0
2013-02-03,7,PREPARED FOODS,135.0,0
2013-02-04,7,PREPARED FOODS,134.0,0
2013-02-05,7,PREPARED FOODS,95.0,0
2013-02-06,7,PREPARED FOODS,113.0,0
2013-02-07,7,PREPARED FOODS,87.0,0
2013-02-08,7,PREPARED FOODS,106.0,0
2013-02-09,7,PREPARED FOODS,148.0,0
2013-02-10,7,PREPARED FOODS,62.0,0
2013-02-11,7,PREPARED FOODS,151.0,0
2013-02-12,7,PREPARED FOODS,121.0,0
2013-02-13,7,PREPARED FOODS,121.0,0
2013-02-14,7,PREPARED FOODS,132.0,0
2013-02-15,7,PREPARED FOODS,156.0,0
2013-02-16,7,PREPARED FOODS,211.0,0
2013-02-17,7,PREPARED FOODS,154.0,0
2013-02-18,7,PREPARED FOODS,176.0,0
2013-02-19,7,PREPARED FOODS,171.0,0
2013-02-20,7,PREPARED FOODS,133.0,0
2013-02-21,7,PREPARED FOODS,162.0,0
2013-02-22,7,PREPARED FOODS,96.0,0
2013-02-23,7,PREPARED FOODS,156.0,0
2013-02-24,7,PREPARED FOODS,132.0,0
2013-02-25,7,PREPARED FOODS,132.0,0
2013-02-26,7,PREPARED FOODS,184.0,0
2013-02-27,7,PREPARED FOODS,161.0,0
2013-02-28,7,PREPARED FOODS,91.0,0
2013-03-01,7,PREPARED FOODS,98.0,0
2013-03-02,7,PREPARED FOODS,192.0,0
2013-03-03,7,PREPARED FOODS,153.0,0
2013-03-04,7,PREPARED FOODS,195.0,0
2013-03-05,7,PREPARED FOODS,134.0,0
2013-03-06,7,PREPARED FOODS,171.0,0
2013-03-07,7,PREPARED FOODS,117.0,0
2013-03-08,7,PREPARED FOODS,166.0,0
2013-03-09,7,PREPARED FOODS,195.0,0
2013-03-10,7,PREPARED FOODS,106.0,0
